Header	Japanese	Google Translate	Translated
1b810618	なあ、アンナ⏸リーフは今頃どこにいるかな?	Hey, Anna⏸ Where is Leaf now?	
1c03081c	シッ! やつらに聞かれてしまうわ	Shh! They'll ask me.	
1b810618	すまない。⏎わたしとした事が……	Sorry. ⏎What I did...	
1d810b20	さて……今日はどっちが⏎取りしらべを うけるのかな?	Now...which one will be interrogated today?	
1b810618	わたしたちは 何も知らないぞ。⏎取りしらべなどムダな事	We don't know anything. ⏎Useless things such as interrogation	
1b810618	それでも やるというなら⏎わたしにしてくれ⏸つまはもう……	If you still want to do it, please do it for me. In the end...	
1d030b20	なるほど、では女からだ	I see, so it's from a woman.	
1b810618	くっ!	Damn!	
1d030b20	いやなら、わたしが知りたい事に⏎こたえればいいのだ⏸かじ屋のジャードよ⏸おまえはエンドン国王の親友だった	If you don't like it, just answer what I want to know. You're Jard, the trickster. You were King Endon's best friend.	
1b810618	それは子どもの頃の話だ⏸わたしが城を出る頃には、エンドンは⏎わたしをうら切り者といった⏸まったく おろかな国王だ	That was when I was a child, and by the time I left the castle, Endon had called me an outcast and was a completely stupid king.	
1d030b20	われわれを あざむこうとする⏎いつわりではないのかな?	They're trying to deceive us ⏎Maybe it's just a lie?	
1b810618	わたしには そんな事をする理由がない	I have no reason to do that.	
1d030b20	国のあちらこちらで 影の大王様への⏎うら切りが ほうこくされている⏸ちゅうじつな しもべたちが たおされ⏎大切な宝がぬすみ出された⏸それを行っているのは少年と大人。⏎そしてカラスをつれた小むすめ	In many parts of the country, grievances are being made against the Great King of Shadows. Innocent servants have been defeated, and precious treasures have been stolen. Who is doing this? boys and adults. ⏎And a little girl with a crow	
1b810618	……小むすめ?	...Little girl?	
1d030b20	小むすめは どうでもよい⏸しかし、少年は⏎おまえの息子ではないのか?⏸そして大人とは……⏎エンドン国王ではないのか?⏸おまえは息子を王とともに⏎送り出した⏸足の悪い自分のかわりにな	The little girl doesn't care ⏸ But isn't the boy ⏎ your son? ⏸ And the adult... ⏎ Isn't it King Endon? ⏸ You sent your son ⏎ away with the king ⏸ to replace your lame self. Nana	
1b810618	エンドン国王!?⏎ワハハハハハ!	King Endon!?⏎Wahahahahaha!	
1d030b20	何がおかしい!	What's wrong!	
1b810618	グワッ……	Guwah...	
1c03081c	あなた!	you!	
00000500	父さん、元気にしていますか?	Dad, how are you doing?	
00000500	ぼくたちは『うごめく砂』で、⏎ラピスラズリを手に入れました。⏎宝石は4つ取りもどしました。⏎⏎次は『きょうふの山』へ向かっています。	We obtained ⏎Lapis Lazuli from ``Moving Sand''. ⏎I got 4 jewels back. ⏎⏎Next, we are heading to ``Kyofu Mountain.''	
00000500	でも……ああ、父さん。⏎道のりは思っていたより遠く……⏎ぼくたちのノドはカラカラです。⏎⏎ツバもでません。⏎水……水……	But... oh, dad. ⏎The road is further than we expected...⏎Our throats are parched. ⏎⏎There is no spittle. ⏎Water...Water...	
0b810208	このままだと死ぬな	I won't die if this continues	
1203030c	はっきり言うわね	I'll say it clearly	
0b810208	水をもっと大切にすべきだった。⏎まったく、不用意だった	I should have valued water more. ⏎It was totally careless.	
02030104	だれが?	Who?	
0b810208	オレという事にしておこう	Let's just say it's me	
01810104	ねえ、これは……	Hey, this is...	
09810208	井戸ではなさそうだ	It doesn't seem to be a well.	
1381030c	おはか?	Morning?	
02810104	見て!⏎ジョーカーって書いてあるよ!	Look! ⏎It says Joker!	
09810208	どう見ても10年はたっているな	No matter how you look at it, 10 years have passed.	
1281030c	それじゃあ、ジョーカーは⏎死んでいるって事?	So, does that mean the Joker is ⏎dead?	
1281030c	わたしたちが会った男は⏎ニセジョーカーだったのね!⏸死んだ人の名前を使うなんて⏎なんて悪人なの!	The man we met was ⏎a fake Joker! ⏸What an evil person to use the name of a dead person!	
01810104	でも、ジョーカーは ぼくたちを⏎助けてくれた……	But Joker ⏎helped us...	
1281030c	わたしたちに近づくためよ。⏎影の大王の手下ね。きまり	To get closer to us. ⏎A minion of the Great Shadow King. Kimari	
01810104	そうかな……	I guess so...	
0b810208	ここで話していても⏎けつろんは出ない	Even if we talk here, ⏎ there will be no conclusion.	
01810104	(にげた……)	(Nigeta...)	
09810208	少なくとも このはかから⏎水は出ない	At least there's no water coming out of this basement.	
1381030c	それもそうね	That's also true	
03810104	(いいんだろうか……もっと⏎考えなくて……)	(I wonder if it's okay... I don't have to think about it more...)	
03810104	(ダメだ……ノドがかわいて⏎考えられない……)	(No... my throat is so cute⏎I can't think...)	
09030208	リーフ、ジャスミン	leaf, jasmine	
0b030208	オレは これまでの人生で⏎こんなにノドがかわいた事はない	I have never felt so dry in my life.	
02810104	わざわざ せんげんしないでよ	Don't bother to worry about it	
0b030208	オレが言いたいのは……⏎もう限界だという事だ	What I want to say is...⏎I've reached my limit.	
28010400	カー!	car!	
1403030c	この先に泉があるって!	There's a spring ahead!	
04810104	やった!	Yay!	
01810104	元気になったみたい	Looks like you're feeling better	
1403030c	わかりやすいよね	It's easy to understand	
0c030208	おい! 水だ! 助かったぞ!	Hey! Water! You saved me!	
1103030c	ねえ、リーフ。⏎ここの木、へんだと思わない?	Hey, Leaf. ⏎Don't you think this tree is strange?	
01810104	うん。全部同じ形だ	Yeah. all have the same shape	
09030208	おい、どうした?⏎早く水をのめよ	Hey, what's wrong? ⏎ Quickly drink some water.	
01810104	木はへんだけど⏎水は安全みたいだね	Trees are bad, but ⏎water seems safe.	
09030208	キン……本物のキンか?	Kin...is it real Kin?	
01030104	大むかしにいなくなったと⏎聞いているけど……	I heard that he disappeared a long time ago...	
32810750	しつれいな。ここにおるわい	It's annoying. I'm here	
09030208	やっぱり本物だ!	It's real after all!	
32810750	まだ言うか……まあ良い	Should I say it yet...well, it's good	
32810750	ところでおまえたち、からだに⏎かわった事はないか?	By the way, have you noticed any changes in your body?	
1103030c	べつに……	Except...	
32810750	どうやら悪人ではないようだな	Apparently he's not a bad person	
01030104	どういう事ですか?	What do you mean?	
