Header	Japanese	Google Translate	Translated	Notes
"""00000001"""	#f9ff下画面をタッチしてください	#f9ffPlease touch the bottom screen	#f9ffTouch to start	
"""00000001"""	#f9ffぼうけんをはじめる	#f9ffStart the adventure	#f9ffAdventure	
"""00000001"""	#f9ffワイヤレスつうしん	#f9ff wireless communication	#f9ffWireless	
"""00000000"""	the#0f00original#0f00author⏎Emily#0f00Rodda	the#0f00original#0f00author⏎Emily#0f00Rodda	the#0f00original#0f00author⏎Emily#0f00Rodda	
"""00000000"""	"publisher⏎BANDAI#0f00CO．,LTD．⏎BEC#0f00CO．,LTD．⏎⏎developer⏎audio#0f00inc．"	"publisher⏎BANDAI#0f00CO．,LTD．⏎BEC#0f00CO．,LTD．⏎⏎developer⏎audio#0f00inc．"	"publisher⏎BANDAI#0f00CO．,LTD．⏎BEC#0f00CO．,LTD．⏎⏎developer⏎audio#0f00inc．"	
"""00000000"""	supervisor⏎Yuuri#0f00Shibamura	supervisor⏎Yuuri#0f00Shibamura	supervisor⏎Yuuri#0f00Shibamura	
"""00000000"""	scenario⏎Kazunari#0f00Nojima	scenario⏎Kazunari#0f00Nojima	scenario⏎Kazunari#0f00Nojima	
"""00000000"""	art#0f00works⏎Yocky	art#0f00works⏎Yocky	art#0f00works⏎Yocky	
"""00000000"""	music⏎Hitoshi#0f00Sakimoto	music⏎Hitoshi#0f00Sakimoto	music⏎Hitoshi#0f00Sakimoto	
"""00000001"""	#f9ffせいじつのしょうちょうトパーズは⏎#f9ff目もくらむ黄金色	#f9ffThe most beautiful topaz is ⏎#f9ffA dazzling golden color	#f9ffせいじつのしょうちょうトパーズは⏎#f9ff目もくらむ黄金色	
"""00000001"""	#f9ffしんじつをみちびくアメジストは⏎#f9ff気高いむらさき	#f9ffThe amethyst that guides the truth is ⏎#f9ff the noble purple	#f9ffしんじつをみちびくアメジストは⏎#f9ff気高いむらさき	
"""00000001"""	#f9ff力とじゅんけつのしょうちょう⏎#f9ffダイアモンドは冷たくかがやく	#f9ffThe power and power of the fire⏎#f9ffThe diamond shines coldly	#f9ff力とじゅんけつのしょうちょう⏎#f9ffダイアモンドは冷たくかがやく	
"""00000001"""	#f9ffめいよのあかしのエメラルドは⏎#f9ffつややかなみどり色	#f9ffMeiyo's proof emerald is ⏎#f9ffGlossy green color	#f9ffめいよのあかしのエメラルドは⏎#f9ffつややかなみどり色	
"""00000001"""	#f9ff神に通じるラピスラズリは⏎#f9ffぐんじょうの夜にちった星	"#f9ffLapis lazuli, which leads to God, is ⏎#f9ffThe star that fell on Gunjo's night"	#f9ff神に通じるラピスラズリは⏎#f9ffぐんじょうの夜にちった星	
"""00000001"""	#f9ffこうふくのしょうちょうルビーは⏎#f9ffしたたるような赤	#f9ffKofuku's scarlet ruby ​​is ⏎#f9ffdripping red	#f9ffこうふくのしょうちょうルビーは⏎#f9ffしたたるような赤	
"""00000001"""	#f9ff希望をもたらすオパールは⏎#f9ffにじのごとく7色に	#f9ffThe opal that brings hope comes in 7 colors like a rainbow ⏎#f9ff	#f9ff希望をもたらすオパールは⏎#f9ffにじのごとく7色に	
"""00000000"""	『デルトラ王国 デルの町』	"""Deltora Kingdom Del Town"""	『デルトラ王国 デルの町』	
"""06030104"""	こんな町……早く出たいよ	A town like this...I want to leave as soon as possible	"Del… I need to get⏎
out of this town…"	
"""06030104"""	影の大王のしるしが ないところなら⏎どこだっていいや	"As long as there is no sign of the Great Shadow King, I don't care where."	"Life is miserable⏎
under the Shadow Lord"	
"""06030104"""	まずいぞ……⏎影の憲兵団(けんぺいだん)だ……⏸見つからないようにしなくちゃ	That's bad...⏎It's the Shadow Military Police Corps...⏸We have to make sure they don't find us.	"Uh-oh!⏎
Grey Guards!⏸
Can’t let them find⏎
me out this late!"	
"""28010600"""	おい! こんな時間になにしてる!	Hey! What are you doing at this hour?	"Hey you!⏸
What are you doing out⏎
after sunset?!"	
"""06030104"""	(やばい にげろ!)	(Oh no! Nigero!)	(Oh no! Run away!)	
"""06030104"""	(あぶなかった…⏎憲兵につかまったらたいへんだ)	(It was dangerous...⏎It would be difficult if the military police caught me)	(あぶなかった…⏎憲兵につかまったらたいへんだ)	
"""06810104"""	(夕方までに帰るって⏎約束したのに……)⏸(母さん、心配してるだろうな……)	"(I promised I would be back by evening...)⏸(Mom, you must be worried...)"	"(I promised I would be⏎
home before sunset…)⏸
(Mother must be⏎
worried…)"	
"""28010600"""	あのこぞう、どこへ行った?	Where did that little bird go?	"Where’d that little⏎
brat go?"	
"""28010700"""	あれは かじ屋の息子だぞ	That's the blacksmith's son.	"I think that’s the⏎
blacksmith’s kid"	
"""06810104"""	(ばれてる!?)	(Has it been found out!?)	(They recognized me!?)	
"""28010600"""	それじゃあ、オヤジを⏎いためつけてやるか	"Well then, shall I torture the old man?"	"Then let’s go make his⏎
dad suffer for this!"	
"""28010700"""	いや、やめとけ。⏎あのかじ屋、うではいいんだ⏸すばらしい剣を安く⏎つくらせる事ができる	"No, stop it. ⏎That swordsmith can make you a great sword cheaply⏎"	"Hey、not so fast!⏸
That codger can make a⏎
great sword for cheap!"	
"""28010600"""	安い? いくらだ?	Cheap? How much?	Cheap? How cheap?	
"""28010700"""	そりゃおまえ、タダ!	"That's right, you're free!"	"For us? We’ll take it⏎
for free!"	
"""28010600"""	わははは、そりゃいい!⏸かじ屋のくやしそうな顔が⏎目にうかぶぜ!	"Hahahaha, that's good! ⏸The Kajiya's disgusted face ⏎appears in my eyes!"	"Grahahaha、yes!⏸
I can’t wait to see⏎
the fear in his eyes!"	
"""06810104"""	(ゆるせない……)	(I can't forgive...)	"Father…⏎
I can’t let them…"	
"""28010600"""	見つけたぞ、こぞう!	"I found it, Kozo!"	There’s the brat!	
"""06810104"""	ゆるさない!	I won't forgive!	I won’t let you-!	
"""28010700"""	げひひひひ!	Gehihihihi!	Grahahaha!	
"""06810104"""	(しまった……)	(It's gone...)	(Gulp!)	
"""28010600"""	さっきの いきおいはどうした!	What happened to Ikioi earlier?	"Not so tough now、⏎
huh、kid?"	
"""06810104"""	バルダ!?	Barda!?	Barda!?	
"""0e810208"""	さあ、にげるぞ!	"Come on, let's escape!"	Come on、let’s go!	
"""28010600"""	うわっ!	Wow!	Waaugh!	Wow indeed. Apparently Barda is a rhinoceros
"""0e030208"""	まったく……⏸夕方までに帰って来いと⏎言われていただろうに⏸オレがいなかったら⏎どうなっていた事やら	At all... ⏸You would have told me to be back by evening⏸⏸If I hadn't been there⏎I wonder what would have happened.	"Harumph!⏸
You know you can’t be⏎
out after sunset!⏸
If I hadn’t been⏎
there to save you…"	
"""06030104"""	だって……	Because...	But…	
"""0e030208"""	だってだってだってだって!⏎なさけないやつだ	"Because, because, because! ⏎I miss him so much!"	"But、but、but!⏎
Always an excuse…"	
"""06030104"""	なさけない!?⏸バルダだって同じだよ!⏎いそうろうのくせに!	Sorry!? ⏸ It's the same with Barda! ⏎ Even though he's so cute!	"What were you doing⏎
out there、Barda?⏸
Even a beggar like⏎
you can’t be out late!"	
"""0e030208"""	たしかにオレは ジャードと⏎アンナの世話になっている⏸つまりおまえと同じだ	"It's true that I'm under the care of Jard and Anna, so I'm just like you."	"True… Jarred and Ana⏎
watch over me too⏸
You and I are not so⏎
different"	
"""06030104"""	ふん!	Hmph!	Hmph!	
"""06030104"""	まずいんだ⏸ぼくがここの家の子だって⏎憲兵団に知られてた	It's bad⏸I'm from this family⏎The military police knew it.	"Ah… the Grey Guards⏎
recognized me earlier⏸
We’re all in danger!"	
"""0e030208"""	それは……いい きっかけだな	That's...a good opportunity.	"Hmm… this might be⏎
a good opportunity"	
"""06030104"""	どういう意味?	What does it mean?	What do you mean?	
"""0e030208"""	町を出たいんだろう?⏸さあ、中でジャードと話してこい。⏎旅の じゅんびは できているぞ	"You want to leave town, right?⏸Now, go inside and talk to Jard. ⏎He's ready for the trip."	"You want to get out⏎
of Del、don’t you?⏸
Now go talk to your⏎
father⏸
The preparations for⏎
the journey are done"	
"""06030104"""	(旅のじゅんび?)	(Junior trip?)	(Journey?)	
"""06030104"""	父さん……おそくなってごめん。⏎でも、デルトラの書は かんべんして⏸もう、あんきするくらい 読んだよ	Dad...I'm sorry I'm late. ⏎But I've read Deltora's book completely⏸I've read it enough to feel relieved.	"Father… I’m sorry…⏸
But don’t make me⏎
read the book again!⏸
I’ve read it so many⏎
times I’m sick of it!"	
"""1b030618"""	……	……	……	
"""1c03081c"""	……	……	……	
"""06030104"""	(よけいな事を言っちゃった。⏎これは 長いおせっきょうに なるぞ……)	(I said something stupid. ⏎This is going to be a long rant...)	"(Why did I say that?⏎
I’m in for it now!)"	
"""1b030618"""	…………	…………	…………	
"""06030104"""	(い、息がつまりそうだ。⏎なにかしゃべらないと……)	(I-I feel like I'm suffocating. ⏎I have to say something...)	"(I can’t breathe! I’ve⏎
gotta say something!)"	
"""06030104"""	バルダが へんな事を言うんだ。⏎ぼくが旅に出るとかさ	Barda says something strange. ⏎I'm going on a journey.	"Barda just said⏎
something strange!⏸
Something about me⏎
going on a journey?"	
"""1b030618"""	ああ、それは本当だ。⏎しかも、とても きけんな旅だ	"Oh, that's true. ⏎Moreover, she is on a very dangerous journey."	"Yes、that’s right。A⏎
very dangerous journey"	
"""1c03081c"""	ことわってもいいのよ、リーフ	"It's okay to say something, Leaf."	You can say no、Lief	
"""1b030618"""	わたしの話を聞いてから⏎自分で きめるんだ	Listen to me and then decide for yourself.	"Listen to me and then⏎
decide for yourself"	
"""06030104"""	(な、なんだ!?)	(W-what!?)	(W-what!?)	
"""1b030618"""	これは……デルトラのベルトだ	This is...Deltora's belt.	"This… is the⏎
Belt of Deltora"	
"""06030104"""	え!? 王家に伝わるベルトだよね?⏎どうしてこれがうちに!?	"Huh!? It's a belt passed down through the royal family, right? ⏎Why do we have this!?"	"Huh!? The belt is⏎
passed down through⏸
The royal family、⏎
isn’t it?⏸
Why do we have it!?"	
"""1b030618"""	父さんは むかし、お城に⏎住んでいたんだ	"Once upon a time, my father lived in a castle."	"A long time ago、I⏎
lived in the palace"	"I’m pretty sure Google translate is getting confused by pronouns or something. This is an unlikely change, so I’m sticking with the books."
"""06030104"""	本当に!?	Really!?	What!? Really!?	
"""1b030618"""	そして さいごのデルトラの王⏎エンドンの親友だった	And the final King of Deltora was Endon's best friend.	"I was close friends⏎
with Endon、the last⏸
King of Deltora"	
"""06030104"""	まぬけのエンドン王?	Stupid King Endon?	King Endon the Fool?	
"""1b030618"""	そう……彼は世間知らずの⏎おろか者だった⏸今はどこで何を⏎しているのか……	Yes...he was a naive idiot.Where is he and what is he doing now?	"Yes… he was a fool⏸
I wonder where he is⏎
now…"	Mmhm
"""06030104"""	生きてるの?	Are you alive?	Is he still alive?	Google translate dropping spoilers
