Header	Japanese	Google Translate	Translated
0a030208	リーフ!⏎グルーがきたぞ!!⏸にげろ!	Leaf!⏎Glue is here!!⏸Nigero!	
01030104	よし⏎なんとかにげ切ったぞ!	Alright ⏎ I managed to get away with it!	
00000100	画面をたたけ!!	Hit the screen!!	
00000000	ジャードよ。⏎おまえが影の大王に つかまったと⏎聞いてから リーフは心ここにあらずだ。⏎⏎しかし、リーフを おまえのもとへ⏎帰すつもりはない。⏎それがおまえの望みだと信じている。⏎友よ。未来を見続けてくれ。	It's Jard. ⏎Ever since he heard that you were captured by the Shadow King, Leaf hasn't been in his heart. ⏎⏎But he has no intention of returning Leaf to you. ⏎I believe that this is what you want from your boyfriend. ⏎My friend. Keep looking to the future.	
1103030c	『まもののどうくつ』は本当に⏎こっちでいいの?	Is “Mama no Dokutsu” really ⏎ is this the right one?	
09030208	そのうちトル川に出るはずだ。⏎そして西海岸を目指して下る⏸キンの言葉をうたがう理由は⏎ないだろう	We should soon be able to reach the Toru River. ⏎And heading down to the west coast⏸There is no reason to follow Kin's words⏎	
09030208	なあ、リーフ?	Hey, Leaf?	
03030104	……うん	……Yeah	
28010874	キャッ! 助けて!	Cuckoo! Help me!	
28010894	助けて～!	Help me!	
28010998	マリーが! マリーを助けて!	Marie! Help Marie!	
09030208	よし、オレが!	Okay, it's me!	
0d030208	おい! どこだ!	Hey! Where are you!	
0d030208	どこだ!? 見つからんぞ!	Where is it!? I can't find it!	
02030104	おい、何をする!	Hey, what are you doing?	
1e810c74	うわっ!	Wow!	
0a810208	何者だ!	Who are you!	
1e810c74	きみたちを 守ろうとしたんだ!⏎それなのに……グフッ……	I was trying to protect you guys!⏎And yet...guff...	
02810104	ウソをつくな!	Don't lie!	
1e810c74	ほら……あれを……	Look... that...	
1703030c	キャッ!	Kya!	
1e030c74	オルだ……気を…つけて……	It's Ol... Be careful...	
1e030c74	……ほら、あれが オルの正体……	...Look, that's Orr's true identity...	
09030208	こんな かいぶつがいるとは……	I never thought there would be a creature like this...	
1303030c	わたしたちを助けようと⏎してくれたのね	You tried to help us ⏎	
1103030c	リーフ、わからなかったの?	Leaf, didn't you understand?	
03030104	……とっさの事だったから	...It was a spur-of-the-moment thing.	
1103030c	それだけじゃないと思うけど?	I don't think that's all?	
03030104	……	……	
1103030c	お父さんの事で⏎頭がいっぱいなんでしょ?	Your mind is full of things about your father, right?	
1203030c	気持ちはわかるけど⏎そんなんじゃ旅なんかできないわ!	I understand how you feel, but you can't travel like that!	
03030104	(そのとおりだ……)	(That's right...)	
01030104	わかったよ……ぼくは帰る⏸父さんがひどい目にあっているのに⏎旅なんかしていられない	I understand...I'm going home⏸My father is going through a terrible time⏎I can't go on a trip.	
0a030208	そんなかっては ゆるさない	I won't allow something like that to happen	
02030104	ぼくが きめる事だ!	It's my decision!	
09030208	オレは……親友の息子を⏎あずかっている	I...I'm taking care of my best friend's son.	
02030104	(親友!?⏎ふん、いそうろうのくせに)	(Best friend!?⏎Hmm, even though Isourou)	
0b030208	オレはジャードの かくごを知っている⏸リーフ⏸おまえが 旅をやめたのが⏎自分のせいだとジャードが知ったら……	I know Jard's secret, Leaf. If Jard finds out that it's his fault that you stopped traveling...	
03030104	……	……	
09030208	よく考えてみるんだな。⏎父親から たくされた 希望の重さを	I'll think about it carefully. ⏎The weight of the hopes that her father gave her	
03030104	(父さん……重すぎるよ……)	(Dad... it's too heavy...)	
09030208	さあ、ジャスミン。⏎この少年を手厚くほうむってやろう	Come on, Jasmine. ⏎Let's treat this boy with care.	
1e030c74	死んでないって!	He's not dead!	
20030c74	いやあ、ひどい目にあったよ	Well, I had a terrible experience.	
03030104	……	……	
1103030c	リーフ?	Leaf?	
03030104	……ごめん。⏎オルなんて初めてだったから……	……sorry. ⏎It was my first time to use Oru...	
1a030c74	じゃあ、おぼえておくんだね⏸オルは影の王国から来たかいぶつ。⏎変身して相手をゆだんさせるんだ	Well then, remember this⏸Oru is a creature from the kingdom of shadows. ⏎Transform and make the other person surrender	
1103030c	くわしいのね	Do you know the details?	
1a030c74	ジョーカーから聞いたんだ⏸レジスタンスのジョーカーは⏎知ってるよね?	I heard it from the Joker⏸You know the Joker from the Resistance⏎, right?	
1203030c	ジョーカー……	Joker...	
20030c74	気に入らないって顔だね。⏎実はぼくもさ	You look like you don't like it. ⏎Actually, me too	
1a030c74	ジョーカーとは⏎ケンカ別れしてきたんだ	I broke up with Joker after a fight.	
