ID	Japanese	Google Translate	Translated	Data
"""01000000"""	やじるし	Heckler	やじるし	00000000db15d915da158a14dc15000006000000000000000a0000000a0000000a000000ff000000200000002000000000000000000000002000000020000000000000000000000020000000200000000000000000000000ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
"""02000000"""	はっぱ	Happa	はっぱ	000000007e137c137d137f130000000006000000000000000a0000000a0000000a000000ff000000200000002000000000000000000000002000000020000000000000000000000020000000200000000000000000000000ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
"""03000000"""	ウェンバ胴	wemba torso	ウェンバ胴	00000000280c260c270c290c00000000060000000000000010000000100000000a000000ff000000200000002000000000000000000000002000000020000000000000000000000020000000200000000000000000000000ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
"""04000000"""	ウェンバ首	wemba neck	ウェンバ首	000000002f0c2d0c2e0c290c00000000060000000000000010000000100000000a000000ff000000200000002000000000000000000000002000000020000000000000000000000020000000200000000000000000000000ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
"""05000000"""	でかバルダ	Big Barda	でかバルダ	000000004b0c490c4a0c4d0c4c0c0000060000000000000010000000100000000a000000ff000000200000002000000000000000000000002000000020000000000000000000000020000000200000000000000000000000ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
"""06000000"""	えだ	Eda	えだ	00000000da13d813d913dc13db130000060000000000000010000000100000000a000000ff000000200000002000000000000000000000002000000020000000000000000000000020000000200000000000000000000000ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
"""07000000"""	バクハツ	Bakuhatsu	バクハツ	00000000370d350d360d390d380d0000060000000000000010000000100000000a000000ff000000200000002000000000000000000000002000000020000000000000000000000020000000200000000000000000000000ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
"""08000000"""	でかリーフ	Big leaf	でかリーフ	00000000320c300c310c340c330c0000060000000000000010000000100000000a000000ff000000200000002000000000000000000000002000000020000000000000000000000020000000200000000000000000000000ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
"""09000000"""	でかジャスミン	Big jasmine	でかジャスミン	00000000630c610c620c650c640c0000060000000000000010000000100000000a000000ff000000200000002000000000000000000000002000000020000000000000000000000020000000200000000000000000000000ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
"""0a000000"""	小物	Accessories	小物	00000000731071107210751074100000060000000000000010000000100000000a000000ff000000200000002000000000000000000000002000000020000000000000000000000020000000200000000000000000000000ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
"""0b000000"""	トリ	Tori	トリ	00000000df13dd13de13e113e0130000060000000000000010000000100000000a000000ff000000200000002000000000000000000000002000000020000000000000000000000020000000200000000000000000000000ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
