Header	Japanese	Google Translate	Translated
00000000	フロア#f5ff	Floor #f5ff	
28010000	きけん! みじゅくものはちかづくな。⏎このとうは『むげん』にしはいされている⏸むやみに入ったものは⏎2どと帰ってはこられない⏸ただし 登りつめたものには⏎天空へのとびらがひらかれる⏸日は登り またしずむ。⏎むげんのごとく	Danger! Don't approach anything dangerous. ⏎This tree is entered in the ``Mugen'' ⏸ Those who enter the mountain recklessly ⏎ will never be able to return ⏸ However, for those who reach the top ⏎ The door to the sky will be opened ⏸ The sun will rise again. Shizumu. ⏎Mugen no Gotoku	
00000000	NEXT#0f00#f5ffF	NEXT#0f00#f5ffF	
00000000	わたしはむげんをつかさどるもの……	I am the ruler of infinity...	
00000000	この『むげんのとう』は⏎あなたたちを ずっとまっていたのです	This ``Mugento'' has been waiting for you for a long time.	
00000000	リーフ⏎バルダ⏎ジャスミン	Leaf⏎Barda⏎Jasmine	
00000000	あなたたちはここまで	you guys are here	
00000000	よくがんばって 登ってきました	I did my best to climb up	
00000000	たからものは ありましたか	Did you have any treasures?	
00000000	あなたたちはりっぱに⏎ここまで 登りつめたのですから⏎あとは おりるのです	You all have made it this far, so all that's left is to come down.	
00000000	わたしが下まで⏎おくってさしあげましょう	I'll take it to the bottom and give it to you.	
00000000	さあ ゆきなさい	Come on, let's go	
