Header	Japanese	Google Translate	Translated	Notes
0	ごうせい ごうせい⏎こうごうせい	Gousei Gousei⏎Kougousei	"Mix mix⏎
Crafting"	
1181030c	さあ はじめるわよ。⏎よういはいい?	Let's get started. ⏎Is it okay?	Let’s get started!	
1810104	ジャスミンがいないと⏎合成できないね	"Without jasmine, ⏎can't be synthesized."	"You can’t craft⏎
without Jasmine!"	
0	『そざい』はとびちってしまった	``Sozai'' has jumped out.	"The material flew⏎
out!"	
0	しっぱいして炭になった	Filled up and turned into charcoal	"Failure! It turned⏎
into charcoal!"	
0	せいこうした!!⏎『#f8ff水晶(すいしょう)#fcff』ができあがった!!	Seisho!!⏎“#f8ff Crystal #fcff” is completed!!	Made『#f8ffQuartz#fcff』!	
0	『#f8ffアップルドリンク#fcff』ができた!!	“#f8ff Apple Drink #fcff” is ready!!	Made『#f8ffApple Cider#fcff』!	
0	『#f8ffパンプキンケーキ#fcff』ができた!!	“#f8ff pumpkin cake #fcff” is ready!!	Made『#f8ffPumpkin Cake#fcff』!	
0	『#f8ffトロピカルジュース#fcff』ができた!!	“#f8ff Tropical Juice #fcff” is ready!!	Made『#f8ffTropical Juice#fcff』!	
0	『#f8ffアップルパイ#fcff』ができた!!	“#f8ff apple pie #fcff” is ready!!	Made『#f8ffApple Pie#fcff』!	
0	『#f8ffけんこうドリンク#fcff』ができた!!	“#f8ff Health Drink #fcff” is ready!!	Made『#f8ffPower Drink#fcff』!	
0	『#f8ffマジックブレッド#fcff』ができた!!	“#f8ff Magic Bread #fcff” is ready!!	Made『#f8ffMagic Bread#fcff』!	
0	『#f8ffきのこのグリル#fcff』ができた!!	“#f8ff mushroom grill #fcff” is ready!!	Made『#f8ffGrilled Mushrooms#fcff』!	
0	『#f8ffかぼちゃスープ#fcff』ができた!!	“#f8ff pumpkin soup #fcff” is ready!!	Made『#f8ffPumpkin Soup#fcff』!	
0	『#f8ffどくけしのくすり#fcff』ができた!!	“#f8ff Poisonous Medicine #fcff” is now available!!	Made『#f8ffPoison Cure#fcff』!	
0	『#f8ffかいふくのくすり#fcff』ができた!!	“#f8ff Kaifu no medicine #fcff” is now available!!	『#f8ffかいふくのくすり#fcff』ができた!!	
0	『#f8ffかいふくのくすり大#fcff』ができた!!	“#f8ff Kaifu no Medicinal #fcff” is now available!!	『#f8ffかいふくのくすり大#fcff』ができた!!	
0	『#f8ffむてきのくすり#fcff』ができた!!	“#f8ffMutekinokushi #fcff” is now available!!	『#f8ffむてきのくすり#fcff』ができた!!	
0	『#f8ffパワーのくすり#fcff』ができた!!	“#f8ff power medicine #fcff” is now available!!	『#f8ffパワーのくすり#fcff』ができた!!	
0	『#f8ffどくのくすり#fcff』ができた!!	“#f8ff Poison Medicine #fcff” is now available!!	『#f8ffどくのくすり#fcff』ができた!!	
0	『#f8ffまんたんのくすり#fcff』ができた!!	“#f8ffmantannomedicine#fcff” is now available!!	『#f8ffまんたんのくすり#fcff』ができた!!	
0	『#f8ffラッキーのくすり#fcff』ができた!!	“#f8ff lucky medicine #fcff” is now available!!	『#f8ffラッキーのくすり#fcff』ができた!!	
0	『#f8ff火ぶくれ弹#fcff』ができた!!	“#f8fffirebulb2#fcff” is now available!!	Made『#f8ffBlister#fcff』!	
0	『#f8ff火おこしビーズ#fcff』ができた!!	“#f8ff fire starter beads #fcff” is ready!!	『#f8ff火おこしビーズ#fcff』ができた!!	
0	『#f8ff光の矢#fcff』ができた!!	“#f8ff Arrow of Light #fcff” is now available!!	Made『#f8ffLight Arrow#fcff』!	
0	『#f8ffうろこのよろい#fcff』ができた!!	“#f8ff Scale Armor #fcff” is now available!!	Made『#f8ffScale Armor#fcff』!	
0	『#f8ffチェインメイル#fcff』ができた!!	“#f8ffChainmail#fcff” is now available!!	Made『#f8ffChainmail#fcff』!	
0	『#f8ff鉄のよろい#fcff』ができた!!	“#f8ff iron armor #fcff” is ready!!	Made『#f8ffIron Armor#fcff』!	
0	『#f8ffゴールドアーマー#fcff』ができた!!	“#f8ff Gold Armor #fcff” is ready!!	Made『#f8ffGold Armor#fcff』!	
0	『#f8ffかぼちゃぱんつ#fcff』ができた!!	“#f8ff pumpkin pants #fcff” is now available!!	Made『#f8ffPumpkin Pants#fcff』!	
0	『#f8ff虫よけのお守り#fcff』ができた!!	“#f8ff insect repellent charm #fcff” is now available!!	Made『#f8ffBug Charm#fcff』!	
0	『#f8ffクリスタルリング#fcff』ができた!!	“#f8ff crystal ring #fcff” is ready!!	Made『#f8ffQuartz Ring#fcff』!	
0	『#f8ffうろこのベルト#fcff』ができた!!	“#f8ff scale belt #fcff” is ready!!	Made『#f8ffScale Belt#fcff』!	
0	『#f8ff花の首かざり#fcff』ができた!!	“#f8ff flower neck ornament #fcff” is ready!!	Made『#f8ffFlower Necklace#fcff』!	
0	『#f8ffシルバーリング#fcff』ができた!!	“#f8ff silver ring #fcff” is ready!!	Made『#f8ffSilver Ring#fcff』!	
0	『#f8ffゴールドリング#fcff』ができた!!	“#f8ff gold ring #fcff” is ready!!	Made『#f8ffGold Ring#fcff』!	
0	『#f8ffかぼちゃのマスク#fcff』ができた!!	“#f8ff pumpkin mask #fcff” is ready!!	Made『#f8ffPumpkin Mask#fcff』!	
0	『#f8ff水晶(すいしょう)#fcff』ができた!!	“#f8ff crystal #fcff” is ready!!	Made『#f8ffQuartz#fcff』!	
28010000	ワールドマップにもどりますか?	Do you want to return to the world map?	"Return to the world⏎
map?"	
