Header	Japanese	Google Translate	Translated	Notes
500	もえているラットシティを⏎すこしのあいだ ながめていました。	I watched the burning Rat City for a while.	"We watched for a⏎
while as the City of⏎
the Rats burned"	
500	立ちのぼる けむりが たいようを⏎おおいかくしてしまいました。⏎すると おそろしい考えが⏎うかんできました。⏎⏎このけむりは まるでノロシのようだ。⏎ぼくたちの事を⏎影の大王に知らせるノロシ。	The rising smoke ⏎ hid a lot of the house. ⏎Then a terrible idea occurred to me. ⏎⏎This smoke is just like a wild stag. ⏎Noroshi informs the ⏎Great King of Shadows about us.	"We realized that the⏎
rising smoke was like⏎
a signal that some-⏎
thing important had⏎
taken place。What⏎
would happen when⏎
the Shadow Lord⏎
found out?"	
500	ぼくたちは、あわてて⏎町から はなれました。	We hurriedly left the town.	We left quickly	
0b810208	見ろ、あぶないところだった……	"Look, it was a dangerous place..."	"We need to get away⏎
from here"	
1381030c	なんて大きな鳥……あれは何?	What a big bird... what is that?	"That bird is huge…⏎
what could it be?"	
9810208	アクババだ。⏎影の大王につかえる おそろしいかいぶつ⏸1000年の命を持つと⏎言われている	It's Akubaba. ⏎A terrifying creature that can be used by the Great Shadow King ⏸It is said to have a lifespan of 1000 years.	"An Ak-Baba! Terrible⏎
creatures that serve⏸
the Shadow Lord⏸
They are said to live⏎
for over 1000 years…"	
3810104	あれが……	That...	Didn’t they…?	
0b810208	そう……あいつらがベルトの⏎宝石をはこんだんだ	Yes...they put the ⏎jewel on the belt.	"Yes… they carried⏎
away the belt’s gems"	
1281030c	……知っているのかしら?	...I wonder if you know?	"Do you think the⏎
Shadow Lord knows?"	
9810208	なにを?	what?	Knows what?	
1181030c	その宝石のうちの3こを⏎リーフが取りもどした事よ	⏎Leaf recovered three of those jewels.	"That Lief has found⏎
3 of the gems"	
1810104	どうだろう……⏎でも、そう考えた方がいいよね	I don't know...⏎But it's better to think that way.	"I don’t know… but it⏎
might be best to⏸
assume so"	
0b810208	うむ。⏎用心に こした事はない	Hmm. ⏎It's better to be cautious	"Yes。It’s best to be⏎
cautious"	
1281030c	それじゃあ、こんなところで⏎ボーッとしてちゃダメじゃない!	"Well then, it's no good to be dazed in a place like this!"	"Well then、there’s no⏎
sense taking a nap⏸
in a place like this!"	
9810208	だれがボーッとしたんだ?	Who was dazed?	And who is napping?	
4810104	一番さいしょに立ち止まった人さ!	He was the first to stop!	"Well、you were the⏎
first one to stop!"	
0a810208	??? ……おい!	??? ……Hey!	"???⏎
…Hey!"	
3030104	もうダメだ……	It's no good anymore...	Ugh… it’s no good…	
1281030c	どうしたの? だらしないわよ!	What's wrong? You're so lazy!	"Come on! Get up!⏎
Don’t be lazy!"	
3030104	ごめん、でも……	"Sorry, but..."	I-I’m sorry…	
9810208	うーむ……しかたあるまい⏸リーフは こっぴどく⏎リアにやられたんだからな	Hmm...there's no other way⏸Leaf was badly beaten⏎by Leah.	"Hmm… Lief was badly⏎
hurt by Reeah。We⏸
may need to rest"	
1303030c	それも……そうね	That too... yeah	Y… yes。Very well	
1103030c	うん、ここは安全みたい	"Yeah, it seems safe here."	"It seems to be safe⏎
enough here"	
1810104	ジャスミン!?	jasmine!?	Jasmine!?	
0b030208	こいつ、もう ねむってるぞ	This guy is already asleep.	She’s… asleep	
1810104	……ものすごい意地っぱりだね	...He's incredibly stubborn.	Wow、she’s tough!	
1810104	あれ? バルダがいない	Huh? Barda isn't there.	"Huh? Where did Barda⏎
go?"	
28010974	どろぼー!	thief!	Thief!	
2f810944	おや、どろぼうの仲間だね	"Hey, you're a fellow thief."	"So、a whole gang of⏎
thieves!"	
1203030c	どろぼうだなんて、いいがかりよ!	Good luck calling him a thief!	"Who are you calling⏎
a thief!?"	
2f810944	その男に聞いてみな!	Just ask that guy!	Him!	
0b810208	リンゴを……	Apple...	An apple…	
2f810944	あたしの大事なリンゴさ!	My precious apple!	My beautiful apple!	
3030104	(バルダ……なさけない……)	(Barda... I'm sorry...)	(Barda…?)	
9810208	(おまえたちに食べさせようと……)	(I want to feed you...)	"(I was trying to get⏎
us all some food)"	
2f810944	おまえたち、どこから来たんだい?	Where do you guys come from?	"Where did you come⏎
from?"	
1030104	ラットシティです	It's Rat City	The City of the Rats	
1181030c	はばひろ川を わたって来たのよ	I came across the Habahiro River	"From across Broad⏎
River"	
2f810944	あの町が もえているのは⏎おまえたちのしわざなんだね!?	The reason that town is burning is because of you guys!?	"So you’re the reason⏎
the City is burning!?"	
2f810944	そうなんだね!⏎なんて事だい!	That's right!⏎Oh my god!	"Who are you?⏸
No - do not tell me!⏎
Just go!"	
2f810944	さっさとここから出て行きな!	Get out of here quickly!	"Get out of here、and⏎
hurry!"	
9810208	(見のがしてくれるようだ)	(Looks like you'll miss it)	(She’s letting us go)	
3030104	(知り合いだと思われたくないからだよ)	(Because I don't want people to think we're acquaintances.)	"(She doesn’t want to⏎
be connected to us)"	
2f810944	ごちゃごちゃ言ってないで⏎さっさと出て行きな!⏸いいかい、ここへ来た事は⏎だれにも言うんじゃないよ!⏸あたしまで まきこまれちゃ⏎かなわないからね!	"Don't make a fuss⏎Hurry up and leave!⏸Listen,⏎don't tell anyone that you came here!⏸Don't let me get involved⏎I won't be able to beat you!"	"Go on! Hurry up and⏎
go already!⏸
Tell no one you were⏎
here!⏸
I don’t want to get⏎
involved in this!"	
3030104	(やっぱり)	(on second thoughts)	(We should go…)	
1810104	女王バチのアップルドリンク。⏎立ち入り禁止……だってさ	Queen bee apple drink. ⏎No entry allowed...	"Queen Bee Cider⏎
No trespassing"	
0c810208	おお!⏸あのアップルドリンクは⏎ここでつくっていたのか!⏸のめば かならず力がみなぎると⏎城の兵士のあいだでは有名だった	"Wow!⏸That apple drink⏎was made here!⏸It was famous among the soldiers of the castle that if you drank it, you would be filled with strength⏎"	"Ah、Queen Bee Cider⏎
was made here!⏸
It was much prized⏎
among the guards when⏸
I was at the palace⏎
in Del。It gave extra⏸
strength to anyone⏎
who drank it!"	
1281030c	そんな話、しないでよ!⏎ノドがかわいてきたじゃない	Don't talk like that! ⏎Your throat is starting to get cute.	"Cut it out! You’re⏎
making me thirsty!"	
3810104	うん、ぼくたちはリンゴを⏎食べていないからね	"Yeah, we don't eat apples."	"Yeah、and we don’t⏎
have any apples…"	
0b810208	……すまん	...Sorry	Er… sorry…	
28010000	『女王バチのアップルドリンク⏎立ち入り禁止』	"""Queen Bee's Apple Drink⏎No entry allowed"""	"『Queen Bee Cider⏎
No entry allowed』"	
2b030974	もうすぐリスメアだ	Rhysmear is coming soon	"We’re getting close⏎
to Rithmere"	
28010700	ああ、今年こそやってやる!	"Oh, I'll do it this year!"	"I’m going to do it⏎
this year!"	
2b030974	チャンピオンは オレだ!	The champion is me!	"I will be the⏎
champion of the⏸
Rithmere Games!"	
0c810208	よろこべ、近くに 町があるぞ	"You're welcome, there's a town nearby."	"It sounds like there⏎
is a town nearby!"	
1403030c	やった!	Yay!	Yay!	
1030104	きょうぎ大会って?	What is the Kyogi Tournament?	"What are the Rithmere⏎
Games?"	
9810208	リスメアで毎年開かれる⏎きょうぎ大会のウワサは聞いている⏸大会のあいだ、町は 祭りのように⏎にぎわうそうだ⏸しかも、大王の手下どもも⏎来ないらしい	"I've heard rumors about the Kyogi Tournament, which is held every year in Lismere.During the tournament, the town seems to be as lively as a festival.Moreover, the Great King's minions don't seem to be coming."	"I’ve heard rumors…⏸
It’s a contest held⏎
each year in Rithmere⏸
It’s said to be like⏎
a festival in the⏸
town。And it seems⏎
the Shadow Lord’s⏸
servants stay away"	
4030104	すごい!	amazing!	Perfect!	
0	かじ屋だ。⏎なつかしい気持ちがする	It's Kajiya. ⏎I feel nostalgic	"A blacksmith’s shop。⏎
I feel nostalgic…"	
280106ac	もしもし そこゆく⏎ぼっちゃん じょーちゃん!⏸ルーレットをやらないかい?⏸お代は1回銀貨1枚!⏸出た目の数だけ⏎銀貨が ふえてもどってくる!⏸どうだい、すごいだろ!	"Hello, I'm going there⏎Botchan, Joe!⏸Would you like to play roulette?⏸You only have to pay one silver coin each time!⏸You'll get back as many silver coins as you roll!⏸How about it, isn't it amazing!"	"Hey、you there! It’s⏎
your lucky day!⏸
Want to play a game⏎
of roulette?⏸
Only one silver coin⏎
for one spin!⏸
A prize for every⏎
player!"	
1481030c	本当!?	TRUE!?	Really!?	
1481060c	はい、銀貨1枚!	"Yes, one silver coin!"	"Okay! Here’s one⏎
silver coin!"	
0b810108	ジャスミン……	jasmine……	Jasmine…	
280106ac	はいはいはい回しますよ!	"Yes, yes, I will turn!"	"Yes yes yes!⏎
Let’s give it a spin!"	
280106ac	ざんねん!⏸でもガッカリする事はないよ。⏎ほら、ざんねん賞だ	"No way!⏸ But you won't be disappointed. ⏎Look, it's the Zannen Award."	"Ooo、tough luck!⏸
But don’t be sad!⏸
You get this fabulous⏎
consolation prize!"	
9810208	ほら、インチキだ	"Look, it's fake."	What a rip-off!	
