Header	Japanese	Google Translate	Translated
1103030c	ねえ、知ってる?⏎この町は 石のカベで囲まれているのよ⏸息がつまるわね	Hey, did you know?⏎This town is surrounded by a stone wall⏸It takes your breath away.	
1303030c	これから、どうなるんだろう	I wonder what will happen from now on	
1181030c	あらリーフ。⏎やっと起きたの?	Oh Leaf. ⏎Did you finally wake up?	
04030104	うん、よくねたー!	Yes, I slept well!	
1181030c	これからは ずっと ゆっくり⏎できるんじゃない?	From now on, you can do it all slowly⏎, right?	
03030104	そうもいかないんだ	That's not possible.	
1181030c	どういう意味!?	What does it mean!?	
01030104	やる事が たくさんある。⏎やりきれないほどあるんだ⏸ジョーカーやバルダが⏎手伝ってくれてもまだ足りない	There's a lot to do. ⏎There's more than I can handle ⏸Even if Joker and Barda ⏎help me, it's still not enough.	
1381030c	うん……たいへんね。⏎ねむる時間、あるかしら	Yeah...that's a lot. ⏎Do you have time to sleep?	
01030104	時間があっても ねむれないよ⏸きみが……	Even if I have time, I can't sleep ⏸ You...	
1181030c	わたしが?	I?	
01030104	きみが ここに いつまで⏎いてくれるのか、気になってさ	I'm wondering how long you'll be here.	
03030104	(言っちゃったよ……)	(I said it...)	
1381030c	町のカベをこわす?	Destroy the wall in town?	
01030104	うん、カベはこわそう	Yeah, the wall looks scary.	
1181030c	緑をふやす?	Increase greenery?	
01030104	うん、きみの好きなだけ!	Yes, as much as you like!	
02030104	ねえ、ジャスミン⏸みんなで力を合わせて⏎この世界を……	Hey, Jasmine⏸ Let's all work together⏎ to make this world...	
1481030c	わたし好みに変えるのよ!	Change it to your liking!	
05030104	待ってよ!	Wait!	
28010000	#f9ff父さん。⏎#f9ffもう、だいじょうぶです。⏎#f9ff世界も国も……ぼくたちも。	#f9ffDad. ⏎#f9ff It's okay now. ⏎#f9ff The world, the country... and us too.	
09030208	おう、リーフ……	Hey, Leaf...	
0b030208	いや、王様か……	No, the king...	
0c030208	わはははは! リーフ王か!	Wahahahaha! King Leaf!	
19030718	さあ、リーフ。⏎何からはじめよう⏸すべき事が 山ほどあるぞ。⏎旅よりも たいへんかもな!	Come on, Leaf. ⏎Where do I start? There are so many things to do. ⏎She might be more difficult than traveling!	
1c030828	ぐっすりねむれたようね⏸ひさしぶりに あなたの⏎ねがおを見て 安心したわ⏸それが わたしの いちばんの⏎しあわせよ	It looks like you slept soundly⏸I felt relieved when I saw your ⏎Negao for the first time in a while⏸That is my biggest ⏎happiness.	
00000000	#0f00#0f00#0f00#0f00#0f00#0f00#0f00#0f00#0f00#0f00#0f00#0f00#0f00#0f00#0f00#0f00おわり#0f00	#0f00#0f00#0f00#0f00#0f00#0f00#0f00#0f00#0f00#0f00#0f00#0f00#0f00#0f00#0f00#0f00End#0f00	
00000000	デルトラクエスト⏎岩崎書店刊⏎⏎原作⏎エミリー・ロッダ	Deltora Quest⏎Published by Iwasaki Shoten⏎⏎Original work⏎Emily Rodda	
00000000	シナリオ⏎有限会社ステラヴィスタ⏎野島 一成	Scenario ⏎ Stella Vista Ltd. ⏎ Kazunari Nojima	
00000000	アートワーク⏎yocky	Artwork⏎yocky	
00000000	開発⏎有限会社アウディオ	Development⏎Audio Co., Ltd.	
00000000	ディレクター⏎上田 晃	Director⏎Akira Ueda	
00000000	プランニング⏎庭野 正志⏎上田 晃	Planning⏎Masashi Niwano⏎Akira Ueda	
00000000	スクリプト⏎植草 健治⏎佐藤 栄作	Script⏎Kenji Uekusa⏎Eisaku Sato	
00000000	プログラム⏎大澤 健二⏎吉尾 享	Program⏎Kenji Osawa⏎Toru Yoshio	
00000000	アートディレクター⏎上田 晃	Art Director⏎Akira Ueda	
