Header	Japanese	Google Translate	Translated	Notes
0	買いますか?	Would you like to buy it?	Buy it?	
28010700	いらっしゃいませ～	Welcome!	Welcome!	
28010700	まいどあり～	There is a maido~	まいどあり～	
28010700	いらっしゃいませ……⏎旅行用品なら なんでもござい……	Welcome...⏎We have all kinds of travel supplies...	"Welcome…⏸
Tom has everything⏎
for the traveller"	
28010700	またのおこしを……	Let's wake up again...	Come again soon…	
28010700	またのおこしを……⏸そうそう、お客さんたちは⏎なかなか上客……の予感がしますな……⏸というわけで、これはおまけです。⏎『#f8ff水くい虫#fcff』をどうぞ……フフフ⏸それから……⏎マドレットは いりませんかな?⏸馬よりも速くて強い生き物です。⏎ご存知ない?⏸旅の強い味方になりますよ。⏎どうぞためしに使ってみてください⏸こっちはおまけにはできませんが⏎そうですね……⏸お代は……まあ、そのうち……フフフ	"Hope to see you again... ⏸ That's right, I have a feeling that the customers will be ⏎ quite good customers... ⏸ So, this is a bonus. ⏎Please have ``#f8ffwaterbug#fcff''... hehehe ⏸ And... ⏎ Don't you need a madlet? ⏸ It's a creature that's faster and stronger than a horse. ⏎Don't you know?⏸It will be a great ally for your travels. ⏎Please try it out ⏸ I can't give this as an extra, but ⏎ That's right... ⏸ As for the price... Well, eventually... hehehe"	"Come again soon… ⏸
Hmm… I have a feeling⏎
that you’ll be good⏸
customers… so here’s⏎
a little gift for you⏸
Please、take these⏎
#f8ffwater eaters#fcff⏸
Hehehe… oh、also…⏸
You should get some⏎
muddlets⏸
They’re very strong⏎
and quite fast!⏸
I think you’ll find⏎
them very helpful⏸
I’m afraid I can’t⏎
give them away, but…⏸
Well、you can pay me⏎
later… Hehehe…"	
0	リーフは⏎『#f8ff水くい虫#fcff』を手に入れた⏸3本足の生き物⏎マドレットに乗れるようになった	Leaf obtained ⏎“#f8ffwaterbug#fcff”⏸3-legged creature⏎Now able to ride Madret	"Got some #f8ffwater eaters#fcff!⏸
You can now ride⏎
muddlets!"	
28010600	デインぼっちゃんのためにお安くしました	I made it cheaper for Dane Botchan.	デインぼっちゃんのためにお安くしました	
28010600	まいどありがとうございます	Thank you very much	Thank you very much	
28010700	あ、あなたも……なのですね……⏸ならばお安くしておきますよ	"Ah, you are too... ⏸ If so, I'll make it cheaper."	"Ah… so you are…? I’ll⏎
give you a discount"	
