Header	Japanese	Google Translate	Translated	Notes
500	森で知り合ったジャスミン。⏎ぼくたちは彼女を仲間に入れて⏎『なげきのみずうみ』をめざしました。	Jasmine I met in the forest. ⏎We added her to her group⏎ We aimed for ``Nageki no Mizuumi.''	"Jasmine joined our⏎
party and we headed⏎
for our next target:⏎
the Lake of Tears"	
500	父さん。⏎そのみずうみは、ドールという⏎美しい町だったそうですね。⏎⏎まじょテーガンのまほうで さびしい⏎みずうみに かえられてしまったとか。	Dad. ⏎It seems that the water was a beautiful town called ⏎Dole. ⏎⏎Majo Tegan's magic turned her into a lonely ⏎water body.	"The lake used to be⏎
a beautiful city⏎
called D’or、but the⏎
sorceress Thaegan⏎
cursed it"	
500	うん……でも、ぼくは行きます。⏎そこにデルトラのベルトから⏎うばわれた宝石があるかぎり。	Yeah...but I'm going. ⏎As long as the jewel stolen from Deltora's belt is there.	"But we have to go⏎
there and find the⏎
next gem to restore⏎
the Belt of Deltora!"	
0b810208	このあたりでちょっと休むか	Shall we take a little break around here?	"Let’s take a short⏎
break here"	
2810104	(もう……おじさんはすぐこれだ)	(Already...my uncle will be here soon)	(Already!? Come on!)	
0a030208	何か言ったか?	Did you say something?	"Hm? Did you say⏎
something?"	
2810104	先に進みたいんだけどな	I just want to move on.	"I think we should⏎
keep moving…"	
1203030c	シーッ!	Shhh!	Shh!	
3810104	(なんだよ、もう……)	"(What, already...)"	(Now what…?)	
1203030c	てきが近づいてくる!⏎木たちが さわいでいるでしょ?	"The weather is approaching!⏎The trees are happy, aren't they?"	"Don’t you hear the⏎
trees?⏸
Enemies approach!"	
0b810208	……わからん	...I don't know	I hear… nothing	
1303030c	てきは影の憲兵団。それもおおぜい	This is the shadow military police. That's a lot too	"Grey Guards。Lots⏎
of them too"	
1203030c	ほら、早く!⏎木の上へ!	Come on! ⏎Go up the tree!	"Come on! Up the⏎
tree!"	
0a030208	(真下で休んでいやがる……)	(He is reluctant to rest right below...)	"They stopped to rest⏎
right below us…"	
1203030c	(もう!)	(already!)	"(Ugh! Now we’re⏎
stuck here!)"	
5030104	(ねえ、見て。あれは だれ?)	"(Hey, look. Who is that?)"	"(Hey、look! Who’s⏎
that?)"	
9030208	(ララド族だ)⏸(むかしのデルトラ王家が⏎大切にしていた大工の種族)⏸(デル城をつくったのはララド族だ)	(The Larado tribe)⏸(A race of carpenters cherished by the ancient Deltora royal family)⏸(The Larado tribe built Del Castle)	"(They have captured⏎
a Ralad…)⏸
(A race of builders⏎
beloved by Adin and)⏸
(all the kings and⏎
queens of Deltora’s)⏸
(early times)⏸
(It was the Ralads⏎
who built the)⏸
(palace of Del)"	
2030104	(助けよう)	(Let's help)	(We should help him!)	
1103030c	(そうね!)	(That's right!)	(Yeah!)	
9030208	(いや……めんどうはさけたい)	(No...I want to avoid the trouble)	"(Be still… there⏎
are too many guards)"	
1203030c	(つめたい おじさん)	(Uncle Tsumetai)	(How heartless…)	
0a030208	(なんとでも言え。⏎オレたちの もくてきは……)	(Say whatever you like. ⏎Our efforts are...)	"(Say what you will。⏎
Our quest is too)⏸
(important to risk⏎
our lives here)"	
3030104	(あの人、困っているよ)	(That person is in trouble)	(He’s in trouble)	
1203030c	(見て見ぬふり?)	(Turn a blind eye?)	"(How can you turn⏎
a blind eye?)"	
0b030208	(……好きにしろ)	(...Do whatever you like)	(…Do as you wish)	
2030104	する!	do!	Let’s go!	
0b030208	やれやれ	Oh my gosh	Here we go again…	
1181030c	にげて!	Run away!	Go on、run!	
2810104	早く!	quickly!	Quickly!	
0a810208	さあ、かかってこい!	"Come on, come on!"	Bring it on!	
2810104	またきた	I'm here again	More!?	
0a810208	キリがない、にげろ!	"There's no limit, Nigero!"	"They keep coming!⏎
Run away!"	
