Header	Japanese	Google Translate	Translated
0d810208	おい……このニオイは!	Hey...this smell!	
01030104	……ごちそう?	...A feast?	
1103030c	そんな感じね	That's what it feels like	
0c030208	たまらん!	I can't help it!	
3c030668	ああ、船に乗っていた人たちですね⏸ごちそうのニオイに⏎ひかれて来たんですか?	Ah, those were the people on the ship. Were they attracted by the smell of the feast?	
03030104	いえ……	home……	
09030208	いや、そのとおりだ⏸正直に言って、その……	No, that's right⏸To be honest, that...	
3c030668	そうそう、正直が一番です⏸では、正直に こたえてください⏸あなたたちは オルですか?	That's right, honesty is the best ⏸ Now, please answer honestly ⏸ Are you guys old?	
1703030c	とんでもない!	no way!	
3c030668	影の大王の手下でもない?	Are you not a subordinate of the Great Shadow King?	
01030104	もちろん	of course	
0b030208	オレたちは ただの はらをへらした⏎旅人だ	We are just hungry travelers.	
3c030668	ふふふ……正直な音です⏸では食事の用意をさせましょう。⏎おーい、ミキータ	Hehehe... that's an honest sound ⏸ Now let's prepare the food. ⏎Hey, Mikita	
09030208	(美しい むすめだな……)	(What a beautiful daughter...)	
01030104	(きれいだ……)	(It's beautiful...)	
1203030c	(へんな服!)	(Strange clothes!)	
3d03086c	はい、モキート様。⏎お食事の用意はできております⏸もちろん、お客様のぶんも ございます	Yes, Mr. Mokito. ⏎The meal is ready⏸Of course, she will also take care of the guests.	
3c030668	では、みなさん、こちらへ	Well, everyone, come here.	
1103030c	いいニオイの料理と⏎かわいい 女の子	Good-smelling food and cute girls	
1203030c	あやしい。ああ、あやしい!⏸どうして わたしたちの ぶんまで⏎用意してあるのよ	Suspicious. Oh, how suspicious! ⏸Why did you even prepare ⏎ for us?	
1103030c	前にも こんな事 あったわよね?⏸あのふたり、かいぶつじゃないの?⏎それともオルかしら?	Something like this has happened before, right? ⏸ Aren't those two monsters? ⏎ Or maybe it's Ol?	
09030208	うむ。影の大王の手下という事も⏎ありうる	Hmm. It is also possible that he is a subordinate of the Great Shadow King.	
0a030208	しかし、それがなんだと言うのだ!⏎もしそうなら、たたかい、たおすのみ!	But what is that? ⏎If so, just fight and defeat!	
1103030c	リーフ、それでいいわけ?	Leaf, is that okay?	
01030104	ここまで来ちゃったんだ⏸もし、ふたりが てきなら ただで⏎帰れないのは同じ事	We've come this far⏸If we're together, it's free⏎It's the same thing that we can't go home	
03030104	それに……⏸あのメイドさん、何か言いたそうだった	Besides...⏸That maid seemed to want to say something.	
09030208	よし、たしかめよう。行くぞ	Okay, let's check. Let's go	
1203030c	もう!	already!	
1103030c	どうしたの? おいしいわよ	What's wrong? It's delicious.	
09810208	ああ。しかしジャスミン。⏎おまえは さっきまで……	ah. But jasmine. ⏎You were just a little while ago...	
1103030c	フィリとクリーが食べているもの。⏎きっと安全よ	What Fili and Cream are eating. ⏎It's definitely safe	
3c810668	はははは、どくなんか⏎入っていませんよ!	Hahahaha, there's no poison in it!	
3c810668	では、わたしは 少し席をはずします。⏎じゅんびを しなくては……	Now, I'll step aside for a moment. ⏎He has to get ready...	
09810208	じゅんび?	preparation?	
09810208	ちょっと聞きたいのだが……	I'd like to ask you something...	
3d81086c	もうしわけございません!⏎何もお話は できないのです	I'm sorry! ⏎I can't talk to you about anything.	
01030104	やっぱり……ふつうじゃないよね	After all... it's not normal.	
1181030c	今さら、なによ	What now?	
01030104	気になる事があるんだ	I have something to worry about.	
01030104	バルダ! カギが……	Barda! The key is...	
09810208	がんじょうだな……	You're so strong...	
1103030c	モキートさん、ごちそうさま!⏎わたしたちは 先を急ぐので とびらを……	Mokito-san, thank you for the meal!⏎We're in a hurry, so open the door...	
3c030668	そうはいかないんだ⏸ボクは食後のデザートに⏎ナゾを出すのが大好きでね⏸そのナゾを といたら⏎キミたちを自由にしてあげよう⏸というわけで、モキートの⏎マジックハウスへようこそ!	That's not the case⏸I love serving ⏎riddles for dessert after meals⏸If you solve that riddle, ⏎I'll set you all free⏸So, welcome to Moquito's ⏎Magic House!	
05030104	マジック?	magic?	
0d030208	ハウス?	House?	
3c030668	すぐにわかるさ。⏎きけんは無いから安心して	You'll understand right away. ⏎There will be no danger, so don't worry	
01030104	めんどうな事になってきたぞ……	Things have become troublesome...	
1303030c	おなかいっぱい。⏎何も考えられない	My stomach is full. ⏎I can't think of anything	
0c030208	まあ、きけんなヤツでは なさそうだ。⏎はらごなしに つきあってやるか	Well, he doesn't seem like a dangerous guy. ⏎Would you like to hang out with me?	
1103030c	今のは、ミキータの声よ!	This is Mikita's voice!	
01030104	やっぱり!	on second thoughts!	
09030208	なぜ?	why?	
01030104	ぼくのオムレツに 文字が書いてあった	There were words written on my omelet.	
1203030c	なんて?	What?	
01030104	てけすた……	Tekesta...	
09030208	テケスタ? それはなんだ?	Tequesta? What is that?	
1703030c	あっ! さかさに読むのね!	Ah! You read it upside down!	
09030208	てけすたを さかさに?	Turn the star upside down?	
0b030208	た……⏎す………	Ta……⏎su……	
0d030208	け………………て!?	Ke………………te!?	
0a030208	なんだと!!	What!!	
02030104	ミキータは ここに⏎閉じこめられて いるのかもしれない	Mikita may be trapped here.	
1103030c	はらが立つわね	It makes me angry	
02030104	うん。モキートめ!	Yeah. Mokito!	
1203030c	ちがうわよ。⏎すぐに言わなかったリーフ、あなたよ	That's different. ⏎It's you, Leaf, for not telling me right away.	
09030208	ケンカは あと!	No more fighting!	
02030104	ミキータ!	Mikita!	
3c030668	ミキータなら、食事のあとかたづけだよ。⏎だからボクたちは ゲームをしよう	If it's Mikita, it's cleaning up after the meal. ⏎So let's play a game	
09030208	どんなゲームだ?	What kind of game is it?	
1203030c	バルダ! ふつうに会話しないでよ!	Barda! Don't talk to me normally!	
01810104	さっきの ひめいは?	What was your secret earlier?	
3c030668	あれかい?⏎ミキータが皿を わってしまってね	Is that it?⏎Mikita broke the plate.	
02810104	ウソだろ!⏸ミキータは ぼくたちに⏎助けを もとめていたぞ!	That's a lie! ⏸Mikita was asking you for ⏎help!	
3c030668	フフフ……ミキータが そんな事を?⏎それなら、ナゾを といてみたまえ	Fufufu...Mikita did something like that?⏎In that case, please take a look at the riddle.	
1203030c	どうしてそうなるのよ!	How can that be?	
3c030668	フフフ……⏸めちゃくちゃな時代だからね。⏎ボクだけ まともなはずは ないだろう?	Hehehe...⏸It's a messed up time. ⏎He can't be the only one who's sane, right?	
01810104	(開きなおった……)	(It reopened...)	
3c030668	フフフ、ここまで来たか⏸では次のナゾは……これだ	Hehehe, have we come this far⏸The next riddle is...this.	
05030104	あっ!!	Ah!!	
1203030c	待ちなさい!!	Wait!!	
0b810208	やれやれ……	Oh my...	
1203030c	何が やれやれよ!	What can I do!	
09810208	こういう めんどうは⏎考えていなかったな⏸あきらめて あいつのゲームとやらに⏎つきあうしかなさそうだ	I hadn't thought about this kind of trouble. It seems like I'll have no choice but to give up and play with that guy's game.	
00000000			
3c030668	いやー、ありがとう。⏎つきあってくれて、本当にありがとう!	No, thank you. ⏎Thank you so much for hanging out with me!	
09030208	オレたちは 何につきあったのだ?	What happened to us?	
3c030668	言ってみれば……たいくつしのぎ……かな	If you ask me, it's like...	
1203030c	なんて人なの!	What a person!	
3c030668	そうだよね。ひどいよね	That's right. That's terrible, isn't it?	
09030208	何か わけがありそうだな	There seems to be a reason	
3c030668	あの、みなさん、おねがいがあります。⏎ボクもいっしょに旅へ……	Well, everyone, I have a favor to ask of you. ⏎Let's go on a journey together...	
3d03086c	モキート様、またですか!⏸旅に出ても どうせ すぐに⏎戻ってくるんでしょう?	Mokito-sama, see you again! Even if you go on a trip, you'll be back soon, right?	
3c030668	ああ、そうだよ。⏎ボクなんか……ボクなんか……⏸家出しても 船に乗って⏎またもどって……そのていどさ	Ah, that's right. ⏎Something like me...Something like me... ⏸Even if I run away from home, I'll get on a boat ⏎I'll come back again... That's how it is.	
3d03086c	みなさん⏸モキート様が ごめいわくを⏎おかけしました	Everyone, Mr. Mokito is sorry for the inconvenience.	
01030104	あのさ⏸オムレツに『たすけて』って書いたよね?	You know, I wrote “Help me” on the omelet, right?	
3d03086c	いいえ。⏎わたしは テケスタって書いただけです	no. ⏎I just wrote Tequesta.	
1103030c	どういう意味よ	What do you mean?	
3d03086c	さあ、書きたくなっただけですわ	Well, I just felt like writing.	
0a030208	オレたちを からかったんだな!	You were making fun of us!	
3d03086c	たいくつしのぎには なったでしょ?	You've become a great horse, haven't you?	
01030104	ぼくたちには 使命があるんだ⏸たいくつなんか これっぽっちも⏎感じているヒマは ないよ	We have a mission⏸We don't have time to feel even the slightest bit.	
3d03086c	それは しあわせね	That's a blessing	
09030208	バカにしているのか?	Are you making fun of me?	
3d03086c	いいえ⏸影の大王が支配する こんな時代。⏎人生の もくてきなんて どこにもない⏸そんな中で 使命を持てるなんて⏎とても しあわせだと思うわ	No ⏸This is the era when the great king of shadows rules. ⏎There is no place for him in my life ⏸To be able to have a mission in such a situation ⏎I feel very lucky.	
28030668	ああ! たいくつだー!	Ah! That's so many!	
3d03086c	さて、次のひまつぶしを⏎考えなくちゃ	Now, I have to think about the next time to kill time.	
3d03086c	では、しあわせな みなさん。⏎きをつけて	Well then, happy people. ⏎Be careful	
09030208	あれもまた、影の大王の ぎせい者かもな	That might also be the shadow king's gimmick.	
1103030c	そうかしら?⏸生きる事が せいいっぱいの人も⏎たくさんいるわよ	Is that so?⏸There are many people who are full of life⏎	
