Header	Japanese	Google Translate	Translated
00000000	父さん。⏎ぼくたちはトーラを目指しています。⏎デインは いいやつです。⏎⏎でも、何もかも話すわけにはいきません。⏎とりあえず、トーラへ送り届けて⏎そこで待っていてもらうつもりです。	Dad. ⏎We aim to become Torah. ⏎Dane is a good guy. ⏎⏎But I can't tell you everything. ⏎For now, I'm going to send her to Thora and have her wait there.	
09810208	トーラだぞ、デイン	It's Thora, Dain.	
1a030c14	うん、ついに来たよ	Yeah, it's finally here	
01810104	トーラには あてがあるの?	Does Thora have a purpose?	
1a030c14	……	……	
09810208	本当の両親をさがしに来た。⏎そうなんだろう?	I came to find my real parents. ⏎Isn’t that so?	
20030c14	……うん	……Yeah	
01810104	エンドン王とシャーン王妃が⏎いるかもしれないんだね	There might be King Endon and Queen Sharn.	
09810208	トーラなら それも ふしぎではない	If it's Thora, that's no wonder.	
1181030c	きんちょうするわ	I'll take care of you	
09810208	……	……	
01810104	……	……	
20030c14	行こう	let's go	
1a810c14	気をつけて	be careful	
09030208	ただのヤギだろう?	Is it just a goat?	
01030104	もしかして……オル?	Maybe...Or?	
1a810c14	うん。まちがいない	Yeah. no doubt	
09030208	デイン、また おまえのおかげで⏎命びろいをしたよ	Dane, thanks to you again, I lost my life.	
1103030c	うん、わたしたちだけじゃ⏎気づかなかったわね	Yeah, we weren't the only ones who noticed.	
1a810c14	たまたまだよ。⏎用心深い性格なんだ	It just happened. ⏎I have a cautious personality	
09030208	それじゃあ オレたちが⏎まるで……	Well then, we're just like...	
1a810c14	そういう意味じゃないよ!	That's not what I meant!	
1303030c	もう、何を言われても⏎しかたないわ	No matter what you say, I can't help it	
0b030208	……そうだな	...That's right.	
20810c14	よーし!⏸じゃあオルの事は⏎ぼくにまかせて!	Okay!⏸Then leave Ol' matters to me!	
1403030c	それじゃあ、出発!	Well then, let's go!	
00000000	なんだろう、この気持ち。⏎仲間を取られたような……	I wonder what this feeling is. ⏎It feels like a friend has been taken away...	
1a030c14	リーフ、何してるの?⏎置いて行くぞ!	Leaf, what are you doing?⏎I’ll leave you behind!	
1181030c	しずかね……	Shizukane...	
1a030c14	ぼく……行ってくるよ	I...I'm coming	
1181030c	わたしも!	me too!	
02030104	ジャスミン!	jasmine!	
09810208	なあ、リーフ。⏎この町は……⏸おい、リーフ、どうした?	Hey, Leaf. ⏎This town...⏸Hey, Leaf, what's wrong?	
01030104	……いや、なんでもないよ	...No, it's nothing.	
09810208	ふたりの事なら放っておけ⏸ジャスミンが いっしょなら⏎デインも安全だろう	Leave the two of us alone⏸If Jasmine is with us⏎Dain will be safe too.	
03030104	……うん⏸ねえ、バルダ。⏎エンドン国王はいると思う?	...Yeah⏸Hey, Barda. ⏎Do you think King Endon exists?	
09810208	……望みは うすいようだ⏸町の様子がおかしい事には⏎気づいたか?⏸人の気配がまったく無い⏸影の大王にやられたという⏎わけでもなさそうだ⏸トーラは強いまりょくに守られて⏎いるはずだが……⏸住人は そのまりょくで⏎すがたを消したのかもな	...Hope seems slim ⏸ Have you noticed that something is wrong with the town? ⏸ There's no sign of anyone ⏸ It doesn't seem like they were attacked by the Great Shadow King ⏸ Thora is protected by the strong Maryoku ⏎There should be one, but...⏸The resident may have disappeared ⏎with that magic trick.	
09030208	どうしたんだ!?	What happened!?	
1303030c	デインがとつぜん取り乱して……	Dain suddenly becomes distraught...	
1f810c14	ここには だれもいない。⏎父さんも母さんもいないんだ……	There's no one here. ⏎My father and mother are not here...	
09030208	デイン……辛いだろうが⏎元気を出せ	Dain...I know it's tough, but cheer up.	
1103030c	そうよ、デイン。⏎どこか ほかのばしょにいるんだわ	Yes, Dane. ⏎I'm somewhere else.	
1a810c14	ジャスミン、バルダ、リーフ。⏎ありがとう⏸カッコ悪いところを⏎見せちゃったね……⏸でも、ジャスミンが言うとおりだ。⏎生きていればいつか会えるよね	Jasmine, Barda, Leaf. ⏎Thank you⏸You showed me your uncool side...⏸But Jasmine is right. ⏎If I'm alive, I'll see you someday.	
