Header	Japanese	Google Translate	Translated	Notes
500	父さん、あぶなかったです。⏎⏎ララド族がとてもよくしてくれたので⏎ぼくたちは なかなか旅にもどる事が⏎できませんでした。	"Dad, it was dangerous. ⏎⏎The Larado tribe treated us very well, so ⏎we were unable to return to our trip."	"The Ralads were so⏎
kind to us! We could⏎
relax for the first⏎
time in ages。It was⏎
tempting to stay in⏎
in Raladin!"	
500	でも、少し時間がたってしまったけど⏎なんとかこうして旅にもどりました。⏎⏎次に目指すのは『ラットシティ』です。⏎どんなところなのでしょうか。⏎ララディンのようなところだと⏎いいんだけど……	"However, it took a while, but somehow I managed to get back on the road. ⏎⏎The next destination is ""Rat City"". ⏎What kind of place is it? ⏎It would be nice if it was a place like Laladin..."	"But we needed to⏎
continue our quest…⏎
Eventually we packed
up and headed out。⏎
⏎
Our next destination⏎
is the『City of the⏎
Rats』"	
1103030c	ねえ……わたしたちつけられてるみたい	Hey... it seems like we're being followed.	"I sense something…⏎
We’re being followed"	
9030208	なんだ? また おとくいの カンか?	What? Is this the same day again?	This again?	
1810104	バルダ、ジャスミンのカンは当たるよ	"Barda, Jasmine's ring is correct."	"Jasmine’s instincts
are good、Barda"	
0b030208	わかっているが……⏎他人のカンにたよるのはどうも……	"I understand, but...⏎I don't like relying on other people's ideas..."	"I know、I know… I⏎
just don’t trust in⏸
things I can’t see⏎
for myself"	
1203030c	あー、固い固い	"Ah, hard, hard"	"Ugh、you’re just so⏎
stubborn!"	
3810104	もう行こうよ	Let's go already	"(Sigh…)⏸
Let’s keep moving"	
1281030c	こいつらよ!⏎わたしたちを つけていたのは!	These guys!⏎They were following us!	"Aha! I knew I sensed⏎
something!"	
0a810208	そんな まどろっこしい事しないで⏎とっとと かかってきやがれ!	Don't do such a drowsy thing ⏎Hurry up!	"Time for a fight!⏎
Let’s do this!"	
2810104	バルダ! 手強そうだよ!	Barda! You look tough!	"Barda! These guys⏎
look tough!"	
1281030c	うん、にげましょう!	"Yes, let's run away!"	"Yeah、let’s get out⏎
of here!"	
2810104	バルダ、さあ!	"Barda, come on!"	Come on、Barda!	
9810208	な? にげられない うんめいさ	What? I can't escape.	"It seems they have⏎
us surrounded"	
2030104	まだ たくさんいるぞ!	There are still many!	They keep coming!	
0a810208	しかたがない、にげるぞ!	"I have no choice, I'm going to flee!"	"This is too much!⏎
Retreat!"	
3030104	(かってな事を……)	(Once upon a time...)	"(If you’d listened⏎
earlier…)"	
1281030c	あっち!	Over there!	This way!	
3030104	行き止まりだ……	It's a dead end...	It’s a dead end…	
9810208	こっちへ にげろと言ったのは⏎だれだったかな?	Who told you to run away?	"Hmph、I knew we⏎
should not have run"	
1203030c	とりあえず にげられたじゃない	"Anyway, I've been run away."	"We escaped those⏎
beasts、didn’t we?"	
3810104	そうでもないみたい	It doesn't seem like that	Maybe not	
5810104	うわーーーー!	Wow!	Waaaaaa-!	
0	気を失うと出会いがある。⏎そんな気がします。⏎いい出会いでありますように……	"When I lose my mind, I have an encounter. ⏎I feel like that. ⏎I hope it's a good encounter..."	"It seems like every⏎
time I black out、I⏎
meet someone new。⏎
I wonder who I’ll⏎
meet this time…"	
9810208	……というわけで わたしたちは⏎ぐうぜん ここへ来てしまったのです⏸おさわがせして もうしわけありません⏸このむすめ、世間知らずゆえ⏎たいへんなしつれいをいたしました⏸どうか おゆるしください	"...That's why we've come all this way. There's no way we're going to let you go. This girl is ignorant of the world, so we've done a lot of hard work on her. Please forgive me."	"…and that’s how we⏎
wound up here⏸
I apologize for the⏎
girl。She’s not from⏸
around here。Please⏎
try to forgive her"	Lief wakes up in the middle of Barda’s apology to the Ra-Kacharz
0a810208	ほら、ジャスミン!⏎おまえも あやまれ!	"Hey, Jasmine! ⏎I'm sorry for you too!"	"Hey、Jasmine! Tell⏎
him you’re sorry!"	
1303030c	……ごめんなさい	……sorry	…Sorry	
2801078c	ふむ……世間知らずでは⏎しかたがないか……	Hmm...I guess I can't help it if I'm naive...	"Hm… since you do not⏎
know our ways、we⏸
will spare you from⏎
punishment"	
0b810208	ありがとうございます!	thank you!	"We are most grateful⏎
for your care of us"	
9810208	さて、われわれは⏎しつれいしなくては……	"Well, we have to be ⏎happy..."	"With your kind⏎
permission we will⏸
be on our way…"	
2801078c	食事の用意ができている。⏎食べて行くがよい⏸食べものをムダにする事は⏎ゆるされないのだ	The meal is ready. ⏎Eat and go⏸It will not be tolerated to waste food.	"Your food has already⏎
been blessed by the⏸
Nine。It must be⏎
eaten now"	
2801078c	クリーン・チュルナイ!	Clean Churnai!	Noradzeer!	"In the book, “noradzeer” is the blessing/manta of the people of Noradz (it’s a corruption of “no rats here”). I’m afraid my minuscule knowledge of Japanese isn’t enough to figure out the intended meaning behind “Kurīn churunai!”
In any case, I’m going with the original english version of the phrase."
1810104	ジャスミン、何をしたんだい?	"Jasmine, what have you done?"	"Jasmine、how did you⏎
get in trouble now?"	
1203030c	おれいをしようと近づいたら⏎きたないから 近よるなって言われたの	"When I tried to come close to him, he told me not to come near him because it was dirty."	"I approached him to⏎
say thanks earlier…⏸
He freaked out about⏎
me being unclean!"	"It’s interesting how the game restructures this scene a little, with Lief being unconscious for the start of it."
9810208	ここのれんちゅうは……おかしい。⏎おそろしいほどの きれい好きのようだ	The classroom here is... strange. ⏎She seems to have a frightening love of cleanliness.	"The people here are…⏎
curious。They seem⏸
to be obsessed with⏎
cleanliness"	
1810104	さっさと ここを出た方が⏎よさそうだね	It looks like it would be better if we get out of here quickly.	"I think it’d be best⏎
if we left quickly…"	
9810208	食事はどうする?	What should I eat?	Shall we eat?	
1203030c	もう、ここはイヤ。⏎こっそり出発よ!	I don't like it here anymore. ⏎Let's leave secretly!	"I don’t like this⏎
place! Let’s try to⏸
sneak out!"	
2801078c	さあ、食事の用意ができたぞ。⏎クリーン・チュルナイ!	"Now, the meal is ready. ⏎Clean Churnai!"	"The meal is ready!⏎
Noradzeer!"	
9810208	たしかに いごこちは良くないが……⏎しかたない、ごちそうになるか	"It's true that it doesn't look good, but...⏎I have no choice but to make it a feast."	"I’m nervous too、but⏎
it looks like we⏸
have no choice but⏎
to eat"	
1810104	すごいごちそうだ……	Looks like a great meal...	What a feast!	
9030208	ああ、本当だ⏸こんなのは ずいぶんむかし……⏸そう、城の兵士だったころに⏎食べたきりだぞ	"Ah, it's true ⏸ This was a long time ago... ⏸ Yes, I ate it all the time when I was a soldier in the castle ⏎"	"Can this be… choco-⏎
late? It is!⏸
Why、I have not⏎
tasted chocolate⏸
since I was a Palace⏎
guard!"	"It’s not an important detail, but the book mentions chocolate specifically"
28010000	ガッシャーン!	Gashan!	Crash!	
1103030c	な、なに!?	W-what!?	W-what was that?	
30810848	ご、ごめんなさい!⏎手がすべってしまって……	I-I'm sorry! ⏎My hand slipped...	"I-I’m so sorry! My⏎
hand slipped!"	
28010790	ティラが皿をおとした。⏸料理をムダにし、皿をわり、⏎床をよごした⏸これは死刑(しけい)にあたいする	"Tira put down her plate. ⏸Wasted the food, broke the dishes, ⏎Dirty the floor⏸This is punishable by death."	"Tira spilled food⏎
upon the ground!⏸
Spilt food is evil!⏸
The punishment is⏎
death!"	
1203030c	ひどいわ!	That's terrible!	That’s insane!	
2810104	(そうだよ、そんなバカな!)	"(That's right, you're such an idiot!)"	(Yeah、that’s crazy!)	
28010790	われわれの 聖なる法に⏎ケチをつけるのは だれだ?	Who is going to be stingy with our holy law?	"You dare to question⏎
our sacred laws!?"	
9030208	いや、そんなつもりは……	"No, that's not my intention..."	"Ah、no! Of course we⏎
don’t-"	
2810104	ケチをつけてるんじゃない。⏎まちがいを正しているだけだ	I'm not being stingy. ⏎I'm just correcting a mistake.	"I’m not questioning⏎
your laws!⏸
Just let me set the⏎
record straight!"	
2810104	皿をわったのはぼく。⏎ティラじゃない	I was the one who broke the plate. ⏎Not Tira	"I broke the plate!⏎
Not Tira!"	
1103030c	リーフ!?	Leaf!?	Lief!?	
28010790	ティラ、そうなのか?	"Tyra, is that so?"	Is this true、Tira?	
30810848	……あの……	……that……	…uhm…	
2810104	ぼくが やったと言ってるじゃないか!	You said I did it!	"I’m telling you、I⏎
did it!"	
28010790	ほう……	law……	Hm…	
28010790	われわれ チュルナイせいじょういいん会は⏎この さわぎは おまえ……	"We, the Churunai Seijoinkai, are worried about you..."	"You bring evil into⏎
Noradz!⏸
What is your name、⏎
foul one?"	
2810104	リーフだ	It's a leaf	It’s Lief!	
28010790	リーフと仲間たちの⏎つみであるとみとめる	Acknowledge the ⏎crime of Leaf and his friends.	"We、the Ra-Kacharz、⏎
see your wickedness!⏸
Lief and his friends⏎
are unclean!"	
2810104	バルダたちは かんけいない!	Barda and the others don't care!	"Leave them out of⏎
this!"	
0a030208	いったいどうするつもりだ!	What on earth are you going to do?	"What are you going⏎
to do?"	
28010790	おまえたちは よそ者⏸われわれは よそ者を そのまま⏎しょけいするほど きびしくはない⏸自分の未来は 自分で きめるがよい	You are strangers⏸We are strangers as we are⏎It's not so harsh that we should reject you⏸You can decide your own future.	"You are outsiders⏸
You claim ignorance、⏎
but I think you lie⏸
The sacred Cup will⏎
decide your fate"	
28010790	ここにカードが2枚ある⏸【生】のカードを引けば一生ろう屋。⏎【死】のカードを引けば……	"There are two cards here⏸ If you draw the [Raw] card, you will be deaf for the rest of your life. ⏎If you draw the [Death] card..."	"There are two cards⏎
in the Cup⏸
If you draw the Life⏎
card、you will spend⏸
the rest of your⏎
life in our prison⏸
If you draw the⏎
Death card…"	
1810104	わかった	Understood	I understand	
