Header	Japanese	Google Translate	Translated	Notes
0	『オープニングから』⏎』黄色黒青赤戻す青⏎普通⏎黄⏎普通	``From the opening'' ⏎'' Yellow Black Blue Red Back Blue ⏎ Normal ⏎ Yellow ⏎ Normal	『オープニングから』⏎』黄色黒青赤戻す青⏎普通⏎黄⏎普通	
0	ひほうのベルト	Hiho's belt	ひほうのベルト	
0	#f8ffちんもくの森	#f8ff Chinmoku no Mori	#f8ffForests of Silence	
0	#f8ffなげきのみずうみ	#f8ffNageki water	#f8ffLake of Tears	
0	#f8ffラット・シティ	#f8ffrat city	#f8ffCity of the Rats	
0	#f8ffうごめく砂	#f8ff moving sand	#f8ffShifting Sands	
0	#f8ffきょうふの山	#f8ffKyofu Mountain	#f8ffDread Mountain	
0	#f8ffまもののどうくつ	#f8ffMagic animal	#f8ffMaze of the Beast	
0	#f8ffいましめの谷	#f8ffIshimenotani	#f8ffValley of the Lost	
0	#f8ffきかん#0f00～デルへ～	#f8ffkikan#0f00~To Del~	#f8ffReturn#0f00～to Del～	
0	#f7ffまぜまぜルーム	#f7ff Maze Maze Room	#f7ffMaze Maze Room	
0	#f7ffモキートのやかた	#f7ff Mokito's story	#f7ffMokito’s House	
0	#f7ffTOMの店	#f7ffTOM store	#f7ffTOM’s Shop	
0	#f7ffテント	#f7ff tent	#f7ffCamp	
0	#f7ffグランドファーム	#f7ff grand farm	#f7ffGrand Farm	
0	#f7ffむげんの塔	#f7ff Mugen Tower	#f7ffPhantom Tower	
0	#f7ffひみつのオーディオルーム	#f7ffsecret audio room	#f7ffSecret Sound Room	
0	1章#0f00ちんもくの森	Chapter 1 #0f00 Chinmoku Forest	Ch 1#0f00Forests of Silence	
0	2章#0f00なげきのみずうみ	Chapter 2 #0f00 Nageki Water	Ch 2#0f00Lake of Tears	
0	3章#0f00ラット・シティ	Chapter 3 #0f00 Rat City	Ch 3#0f00City of the Rats	
0	4章#0f00うごめく砂	Chapter 4 #0f00 Moving Sand	Ch 4#0f00Shifting Sands	
0	5章#0f00きょうふの山	Chapter 5 #0f00 Kyofu Mountain	Ch 5#0f00Dread Mountain	
0	6章#0f00まもののどうくつ	Chapter 6 #0f00 Magical Animal	Ch 6#0f00Maze of the Beast	
0	7章#0f00いましめの谷	Chapter 7 #0f00 Ishimeno Valley	Ch 7#0f00Valley of the Lost	
0	最終章#0f00きかん	Final chapter #0f00 Kikan	Final Chapter#0f00Return	
0	STAGE#0f00#0f00#0f00#0f00#0f00#0f00#0f00#0f00#0f00#0f00#0f00#0f00⏎STAGE2#0f00#0f00#0f00#0f00#0f00#0f00#0f00#0f00#0f00#0f00#0f00⏎SOUND#0f00#0f00#0f00#0f00#0f00#0f00#0f00#0f00#0f00#0f00#0f00#0f00⏎EVENT#0f00#0f00#0f00#0f00#0f00#0f00#0f00#0f00#0f00#0f00#0f00#0f00⏎スタッフロール#0f00#0f00#0f00#0f00#0f00#0f00#0f00#0f00#0f00#0f00⏎OPENING#0f00#0f00#0f00#0f00#0f00#0f00#0f00#0f00#0f00#0f00⏎ENDING#0f00#0f00#0f00#0f00#0f00#0f00#0f00#0f00#0f00#0f00#0f00⏎ワールドマップ#0f00#0f00#0f00#0f00#0f00#0f00#0f00#0f00#0f00#0f00⏎BOSS#0f00#0f00#0f00#0f00#0f00#0f00#0f00#0f00#0f00#0f00#0f00#0f00#0f00⏎雜魚#0f00#0f00#0f00#0f00#0f00#0f00#0f00#0f00#0f00#0f00#0f00#0f00#0f00#0f00#0f00⏎宝石#0f00#0f00#0f00#0f00#0f00#0f00#0f00#0f00#0f00#0f00#0f00#0f00#0f00#0f00#0f00⏎ワイヤレス#0f00#0f00#0f00#0f00#0f00#0f00#0f00#0f00#0f00#0f00#0f00#0f00	STAGE#0f00#0f00#0f00#0f00#0f00#0f00#0f00#0f00#0f00#0f00#0f00#0f00⏎STAGE2#0f00#0f00#0f00#0f00#0f00#0f00#0f00#0f00#0f00#0f00#0f0 0⏎ SOUND#0f00#0f00#0f00#0f00#0f00#0f00#0f00#0f00#0f00#0f00#0f00#0f00⏎EVENT#0f00#0f00#0f00#0f00#0f00#0f00#0f00#0f00#0f00#0f00#0f00# 0f00⏎Staff roll #0f00#0f00#0f00#0f00#0f00#0f00#0f00#0f00#0f00#0f00⏎OPENING#0f00#0f00#0f00#0f00#0f00#0f00#0f00#0f00#0f00#0f00⏎ENDING#0 f00 #0f00#0f00#0f00#0f00#0f00#0f00#0f00#0f00#0f00#0f00⏎World Map#0f00#0f00#0f00#0f00#0f00#0f00#0f00#0f00#0f00#0f00⏎BOSS#0f00#0f00# 0f00#0f00#0f00#0f00#0f00#0f00#0f00#0f00#0f00#0f00#0f00⏎雜fish#0f00#0f00#0f00#0f00#0f00#0f00#0f00#0f00#0f00#0f00#0f00#0f00 #0f00 #0f00#0f00⏎Gem #0f00#0f00#0f00#0f00#0f00#0f00#0f00#0f00#0f00#0f00#0f00#0f00#0f00#0f00#0f00⏎Wireless #0f00#0f00#0f00#0f00#0f00#0f00 #0f00#0f00#0f00#0f00#0f00#0f00	STAGE#0f00#0f00#0f00#0f00#0f00#0f00#0f00#0f00#0f00#0f00#0f00#0f00⏎STAGE2#0f00#0f00#0f00#0f00#0f00#0f00#0f00#0f00#0f00#0f00#0f00⏎SOUND#0f00#0f00#0f00#0f00#0f00#0f00#0f00#0f00#0f00#0f00#0f00#0f00⏎EVENT#0f00#0f00#0f00#0f00#0f00#0f00#0f00#0f00#0f00#0f00#0f00#0f00⏎スタッフロール#0f00#0f00#0f00#0f00#0f00#0f00#0f00#0f00#0f00#0f00⏎OPENING#0f00#0f00#0f00#0f00#0f00#0f00#0f00#0f00#0f00#0f00⏎ENDING#0f00#0f00#0f00#0f00#0f00#0f00#0f00#0f00#0f00#0f00#0f00⏎ワールドマップ#0f00#0f00#0f00#0f00#0f00#0f00#0f00#0f00#0f00#0f00⏎BOSS#0f00#0f00#0f00#0f00#0f00#0f00#0f00#0f00#0f00#0f00#0f00#0f00#0f00⏎雜魚#0f00#0f00#0f00#0f00#0f00#0f00#0f00#0f00#0f00#0f00#0f00#0f00#0f00#0f00#0f00⏎宝石#0f00#0f00#0f00#0f00#0f00#0f00#0f00#0f00#0f00#0f00#0f00#0f00#0f00#0f00#0f00⏎ワイヤレス#0f00#0f00#0f00#0f00#0f00#0f00#0f00#0f00#0f00#0f00#0f00#0f00	
0	#f7ff第1章#0f00#fcff沈黙の森#0f00#0f00#0f00#0f00#0f00#0f00#0f00#0f00#0f00⏎#f8ff第2章#0f00#fcff嘆きの湖#0f00#0f00#0f00#0f00#0f00#0f00#0f00#0f00#0f00⏎#f7ff第3章#0f00#fcffラット・シティ#0f00#0f00#0f00#0f00#0f00#0f00⏎#f8ff第4章#0f00#fcffうごめく砂#0f00#0f00#0f00#0f00#0f00#0f00#0f00#0f00⏎#f7ff第5章#fcff#0f00恐怖の山#0f00#0f00#0f00#0f00#0f00#0f00#0f00#0f00#0f00⏎#f8ff第6章#fcff#0f00魔物の洞窟#0f00#0f00#0f00#0f00#0f00#0f00#0f00#0f00⏎#f7ff第7章#fcff#0f00いましめの谷#0f00#0f00#0f00#0f00#0f00#0f00#0f00⏎#f8ff最終章#fcff#0f00帰還#0f00#0f00#0f00#0f00#0f00#0f00#0f00#0f00#0f00#0f00#0f00⏎#f7ff序#0f00章#f8ff#0f00#fcff秘宝のベルト#0f00#0f00#0f00#0f00#0f00#0f00#0f00	#f7ff Chapter 1 #0f00 #fcff Forest of Silence #0f00#0f00#0f00#0f00#0f00#0f00#0f00#0f00#0f00⏎#f8ff Chapter 2 #0f00#fcff Lake of Wailing #0f00#0f00#0f00# 0f00#0f00#0f00#0f00#0f00#0f00⏎#f7ffChapter 3#0f00#fcffRat City#0f00#0f00#0f00#0f00#0f00#0f00⏎#f8ffChapter 4#0f00#fcffMoving Sand#0f00 #0f00#0f00#0f00#0f00#0f00#0f00#0f00⏎#f7ff Chapter 5#fcff#0f00Mountain of Fear#0f00#0f00#0f00#0f00#0f00#0f00#0f00#0f00#0f00⏎#f8ffChapter 6 Chapter #fcff#0f00Demon Cave#0f00#0f00#0f00#0f00#0f00#0f00#0f00#0f00⏎#f7ffChapter 7#fcff#0f00Isashime Valley#0f00#0f00#0f00#0f00#0f00#0f00# 0f00⏎#f8ff final chapter#fcff#0f00 return#0f00#0f00#0f00#0f00#0f00#0f00#0f00#0f00#0f00#0f00#0f00⏎#f7ff beginning#0f00 chapter#f8ff#0f00#fcff treasure belt# 0f00#0f00#0f00#0f00#0f00#0f00#0f00	#f7ff第1章#0f00#fcff沈黙の森#0f00#0f00#0f00#0f00#0f00#0f00#0f00#0f00#0f00⏎#f8ff第2章#0f00#fcff嘆きの湖#0f00#0f00#0f00#0f00#0f00#0f00#0f00#0f00#0f00⏎#f7ff第3章#0f00#fcffラット・シティ#0f00#0f00#0f00#0f00#0f00#0f00⏎#f8ff第4章#0f00#fcffうごめく砂#0f00#0f00#0f00#0f00#0f00#0f00#0f00#0f00⏎#f7ff第5章#fcff#0f00恐怖の山#0f00#0f00#0f00#0f00#0f00#0f00#0f00#0f00#0f00⏎#f8ff第6章#fcff#0f00魔物の洞窟#0f00#0f00#0f00#0f00#0f00#0f00#0f00#0f00⏎#f7ff第7章#fcff#0f00いましめの谷#0f00#0f00#0f00#0f00#0f00#0f00#0f00⏎#f8ff最終章#fcff#0f00帰還#0f00#0f00#0f00#0f00#0f00#0f00#0f00#0f00#0f00#0f00#0f00⏎#f7ff序#0f00章#f8ff#0f00#fcff秘宝のベルト#0f00#0f00#0f00#0f00#0f00#0f00#0f00	
0	ジャスミンの家#0f00#0f00#0f00#0f00#0f00#0f00#0f00#0f00#0f00#0f00⏎マジックハウス#0f00#0f00#0f00#0f00#0f00#0f00#0f00#0f00#0f00#0f00⏎おそわれた细#0f00#0f00#0f00#0f00#0f00#0f00#0f00#0f00#0f00#0f00#0f00⏎夢幻の塔#0f00#0f00#0f00#0f00#0f00#0f00#0f00#0f00#0f00#0f00#0f00#0f00#0f00⏎サウンドモード#0f00#0f00#0f00#0f00#0f00#0f00#0f00#0f00#0f00#0f00	Jasmine House#0f00#0f00#0f00#0f00#0f00#0f00#0f00#0f00#0f00#0f00⏎Magic House#0f00#0f00#0f00#0f00#0f00#0f00#0f00#0f00#0f00#0f00⏎Terrorized Details#0f00#0f00#0f00#0f00#0f00#0f00#0f00#0f00#0f00#0f00#0f00⏎Dream Tower#0f00#0f00#0f00#0f00#0f00#0f00#0f00#0f00#0f00#0f00#0f00# 0f00#0f00⏎Sound mode #0f00#0f00#0f00#0f00#0f00#0f00#0f00#0f00#0f00#0f00	ジャスミンの家#0f00#0f00#0f00#0f00#0f00#0f00#0f00#0f00#0f00#0f00⏎マジックハウス#0f00#0f00#0f00#0f00#0f00#0f00#0f00#0f00#0f00#0f00⏎おそわれた细#0f00#0f00#0f00#0f00#0f00#0f00#0f00#0f00#0f00#0f00#0f00⏎夢幻の塔#0f00#0f00#0f00#0f00#0f00#0f00#0f00#0f00#0f00#0f00#0f00#0f00#0f00⏎サウンドモード#0f00#0f00#0f00#0f00#0f00#0f00#0f00#0f00#0f00#0f00	
