Header	Japanese	Google Translate	Translated	Notes
500	父さん、母さん。⏎ぼくたちは急いで谷を⏎出る事にしました。⏎⏎宝石を すべて手に入れた いま⏎ひとつのばしょに⏎立ち止まっている事は⏎とても、きけんだと 思ったからです。	"Father, mother. ⏎We decided to ⏎get out of the valley in a hurry. ⏎⏎Now that he has obtained all the jewels, he ⏎thinks that it is very dangerous for him to ⏎stand still in one place."	父さん、母さん。⏎ぼくたちは急いで谷を⏎出る事にしました。⏎⏎宝石を すべて手に入れた いま⏎ひとつのばしょに⏎立ち止まっている事は⏎とても、きけんだと 思ったからです。	
1103030c	かってに出てきちゃって⏎なんだか悪いわね	It came out before⏎It's kind of bad.	かってに出てきちゃって⏎なんだか悪いわね	
1810104	しかたないよ。何もかも⏎話せるわけじゃないからね	I have no choice. It's not like I can talk about everything.	しかたないよ。何もかも⏎話せるわけじゃないからね	
9030208	いつか あやまればいいさ	I hope I'll make up my mind someday	いつか あやまればいいさ	
9030208	なあ、リーフ。⏎ベルトの様子はどうだ?	"Hey, Leaf. ⏎How's the belt?"	なあ、リーフ。⏎ベルトの様子はどうだ?	
3810104	何も変わらないんだ	nothing changes	何も変わらないんだ	
9030208	宝石が7こそろえば ベルトが⏎あとつぎのところへ 導いてくれる⏸……ちがうのか?	"If you collect 7 jewels, the belt will lead you to the next place⏎...Is it different?"	宝石が7こそろえば ベルトが⏎あとつぎのところへ 導いてくれる⏸……ちがうのか?	
1810104	父さんはそう言ってた。⏎ぼくは信じるよ	That's what my father said. ⏎I believe	父さんはそう言ってた。⏎ぼくは信じるよ	
28010674	お待ち下さい!	Please wait!	お待ち下さい!	
2c03063c	あなたたちは デルトラのベルトを⏎持っているのですね?⏸しかも、失われた7この宝石を⏎すべて 取りもどした……	"You all have Deltora's belt, right? Moreover, you have recovered all 7 of the lost jewels..."	あなたたちは デルトラのベルトを⏎持っているのですね?⏸しかも、失われた7この宝石を⏎すべて 取りもどした……	
2d030740	もうしわけありません⏸ダイアモンドの事を⏎話してしまいました……	I'm sorry⏸I talked about diamonds⏎...	もうしわけありません⏸ダイアモンドの事を⏎話してしまいました……	
2c03063c	それに……⏸みなさんはベルトを見て⏎とても楽しそうに笑っていました	And...⏸Everyone looked at the belt⏎and laughed and seemed to be having a lot of fun.	それに……⏸みなさんはベルトを見て⏎とても楽しそうに笑っていました	
0d030208	なんと!	Oh my god!	なんと!	
0a810208	(ジャスミン!⏎おまえが見たいなどと言うからだ)	(Jasmine!⏎Because you say you want to see it)	(ジャスミン!⏎おまえが見たいなどと言うからだ)	
1203030c	(バルダだって!)	(Even Barda!)	(バルダだって!)	
9030208	(……どうする?)	(...what should I do?)	(……どうする?)	
1810104	(話そう。エメラルドもルビーも⏎色あせていない)	(Let's talk about it.Emeralds and rubies⏎haven't faded)	(話そう。エメラルドもルビーも⏎色あせていない)	
9030208	(つまり、じゃあくも かいぶつもいない)	"(In other words, there are no insects or insects)"	(つまり、じゃあくも かいぶつもいない)	
1030104	ゼアンさん、そのとおりです	"Zean, you're right."	ゼアンさん、そのとおりです	
9030208	あとは 王家のあとつぎに ベルトを⏎わたすだけなのだが……	All that's left now is to hand over the belt to the heir to the royal family...	あとは 王家のあとつぎに ベルトを⏎わたすだけなのだが……	
2c03063c	本来の ベルトの持ち主が⏎見つからないのですね	The original owner of the belt cannot be found.	本来の ベルトの持ち主が⏎見つからないのですね	
